♠8, ♣4, ♥9, ♣J, ♠J | pair
♠8, ♣4, ♥9, ♠3, ♣3 | pair
♠8, ♣4, ♥9, ♦10, ♣10 | pair
♠8, ♣4, ♥9, ♣6, ♦6 | pair
♠8, ♣4, ♣J, ♠3, ♣3 | pair
♠8, ♣4, ♣J, ♠3, ♠J | pair
♠8, ♣4, ♣J, ♦10, ♠J | pair
♠8, ♣4, ♣J, ♦10, ♣10 | pair
♠8, ♣4, ♣J, ♣6, ♦6 | pair
♠8, ♣4, ♣J, ♣6, ♠J | pair
♠8, ♣4, ♣J, ♠Q, ♠J | pair
♠8, ♣4, ♣J, ♦6, ♠J | pair
♠8, ♣4, ♣J, ♠5, ♠J | pair
♠8, ♣4, ♣J, ♣3, ♠J | pair
♠8, ♣4, ♣J, ♠J, ♣10 | pair
♠8, ♣4, ♠3, ♦10, ♣3 | pair
♠8, ♣4, ♠3, ♦10, ♣10 | pair
♠8, ♣4, ♠3, ♣6, ♦6 | pair
♠8, ♣4, ♠3, ♣6, ♣3 | pair
♠8, ♣4, ♠3, ♠Q, ♣3 | pair
♠8, ♣4, ♠3, ♦6, ♣3 | pair
♠8, ♣4, ♠3, ♠5, ♣3 | pair
♠8, ♣4, ♠3, ♣3, ♠J | pair
♠8, ♣4, ♠3, ♣3, ♣10 | pair
♠8, ♣4, ♦10, ♣6, ♦6 | pair
♠8, ♣4, ♦10, ♣6, ♣10 | pair
♠8, ♣4, ♦10, ♠Q, ♣10 | pair
♠8, ♣4, ♦10, ♦6, ♣10 | pair
♠8, ♣4, ♦10, ♠5, ♣10 | pair
♠8, ♣4, ♦10, ♣3, ♣10 | pair
♠8, ♣4, ♦10, ♠J, ♣10 | pair
♠8, ♣4, ♣6, ♠Q, ♦6 | pair
♠8, ♣4, ♣6, ♦6, ♠5 | pair
♠8, ♣4, ♣6, ♦6, ♣3 | pair
♠8, ♣4, ♣6, ♦6, ♠J | pair
♠8, ♣4, ♣6, ♦6, ♣10 | pair
♠8, ♥9, ♣J, ♠3, ♣3 | pair
♠8, ♥9, ♣J, ♠3, ♠J | pair
♠8, ♥9, ♣J, ♦10, ♠Q | straight
♠8, ♥9, ♣J, ♦10, ♠J | pair
♠8, ♥9, ♣J, ♦10, ♣10 | pair
♠8, ♥9, ♣J, ♣6, ♦6 | pair
♠8, ♥9, ♣J, ♣6, ♠J | pair
♠8, ♥9, ♣J, ♠Q, ♠J | pair
♠8, ♥9, ♣J, ♠Q, ♣10 | straight
♠8, ♥9, ♣J, ♦6, ♠J | pair
♠8, ♥9, ♣J, ♠5, ♠J | pair
♠8, ♥9, ♣J, ♣3, ♠J | pair
♠8, ♥9, ♣J, ♠J, ♣10 | pair
♠8, ♥9, ♠3, ♦10, ♣3 | pair
♠8, ♥9, ♠3, ♦10, ♣10 | pair
♠8, ♥9, ♠3, ♣6, ♦6 | pair
♠8, ♥9, ♠3, ♣6, ♣3 | pair
♠8, ♥9, ♠3, ♠Q, ♣3 | pair
♠8, ♥9, ♠3, ♦6, ♣3 | pair
♠8, ♥9, ♠3, ♠5, ♣3 | pair
♠8, ♥9, ♠3, ♣3, ♠J | pair
♠8, ♥9, ♠3, ♣3, ♣10 | pair
♠8, ♥9, ♦10, ♣6, ♦6 | pair
♠8, ♥9, ♦10, ♣6, ♣10 | pair
♠8, ♥9, ♦10, ♠Q, ♠J | straight
♠8, ♥9, ♦10, ♠Q, ♣10 | pair
♠8, ♥9, ♦10, ♦6, ♣10 | pair
♠8, ♥9, ♦10, ♠5, ♣10 | pair
♠8, ♥9, ♦10, ♣3, ♣10 | pair
♠8, ♥9, ♦10, ♠J, ♣10 | pair
♠8, ♥9, ♣6, ♠Q, ♦6 | pair
♠8, ♥9, ♣6, ♦6, ♠5 | pair
♠8, ♥9, ♣6, ♦6, ♣3 | pair
♠8, ♥9, ♣6, ♦6, ♠J | pair
♠8, ♥9, ♣6, ♦6, ♣10 | pair
♠8, ♥9, ♠Q, ♠J, ♣10 | straight
♠8, ♣J, ♠3, ♦10, ♣3 | pair
♠8, ♣J, ♠3, ♦10, ♠J | pair
♠8, ♣J, ♠3, ♦10, ♣10 | pair
♠8, ♣J, ♠3, ♣6, ♦6 | pair
♠8, ♣J, ♠3, ♣6, ♣3 | pair
♠8, ♣J, ♠3, ♣6, ♠J | pair
♠8, ♣J, ♠3, ♠Q, ♣3 | pair
♠8, ♣J, ♠3, ♠Q, ♠J | pair
♠8, ♣J, ♠3, ♦6, ♣3 | pair
♠8, ♣J, ♠3, ♦6, ♠J | pair
♠8, ♣J, ♠3, ♠5, ♣3 | pair
