♠A, ♥J, ♣10, ♣4, ♥10 | pair
♠A, ♥J, ♣10, ♥5, ♥5 | pair
♠A, ♥J, ♣10, ♥5, ♥10 | pair
♠A, ♥J, ♣10, ♥5, ♥10 | pair
♠A, ♥J, ♣10, ♥7, ♥10 | pair
♠A, ♥J, ♣10, ♠9, ♥10 | pair
♠A, ♥J, ♣10, ♥Q, ♥10 | pair
♠A, ♥J, ♣4, ♥5, ♥5 | pair
♠A, ♥J, ♥5, ♥5, ♥7 | pair
♠A, ♥J, ♥5, ♥5, ♠9 | pair
♠A, ♥J, ♥5, ♥5, ♥Q | pair
♠A, ♥J, ♥5, ♥5, ♥10 | pair
♠A, ♣10, ♣4, ♥5, ♥5 | pair
♠A, ♣10, ♣4, ♥5, ♥10 | pair
♠A, ♣10, ♣4, ♥5, ♥10 | pair
♠A, ♣10, ♣4, ♥7, ♥10 | pair
♠A, ♣10, ♣4, ♠9, ♥10 | pair
♠A, ♣10, ♣4, ♥Q, ♥10 | pair
♠A, ♣10, ♥5, ♥5, ♥7 | pair
♠A, ♣10, ♥5, ♥5, ♠9 | pair
♠A, ♣10, ♥5, ♥5, ♥Q | pair
♠A, ♣10, ♥5, ♥5, ♥10 | two pairs
♠A, ♣10, ♥5, ♥7, ♥10 | pair
♠A, ♣10, ♥5, ♠9, ♥10 | pair
♠A, ♣10, ♥5, ♥Q, ♥10 | pair
♠A, ♣10, ♥5, ♥7, ♥10 | pair
♠A, ♣10, ♥5, ♠9, ♥10 | pair
♠A, ♣10, ♥5, ♥Q, ♥10 | pair
♠A, ♣10, ♥7, ♠9, ♥10 | pair
♠A, ♣10, ♥7, ♥Q, ♥10 | pair
♠A, ♣10, ♠9, ♥Q, ♥10 | pair
♠A, ♣4, ♥5, ♥5, ♥7 | pair
♠A, ♣4, ♥5, ♥5, ♠9 | pair
♠A, ♣4, ♥5, ♥5, ♥Q | pair
♠A, ♣4, ♥5, ♥5, ♥10 | pair
♠A, ♥5, ♥5, ♥7, ♠9 | pair
♠A, ♥5, ♥5, ♥7, ♥Q | pair
♠A, ♥5, ♥5, ♥7, ♥10 | pair
