♣J, ♣9, ♦2, ♣9, ♠6 | pair
♣J, ♣9, ♦2, ♣9, ♠3 | pair
♣J, ♣9, ♦2, ♣9, ♣4 | pair
♣J, ♣9, ♦2, ♣9, ♦2 | two pairs
♣J, ♣9, ♦2, ♣9, ♣Q | pair
♣J, ♣9, ♦2, ♣9, ♥6 | pair
♣J, ♣9, ♦2, ♣9, ♥6 | pair
♣J, ♣9, ♦2, ♠6, ♦2 | pair
♣J, ♣9, ♦2, ♠6, ♥6 | pair
♣J, ♣9, ♦2, ♠6, ♥6 | pair
♣J, ♣9, ♦2, ♠3, ♦2 | pair
♣J, ♣9, ♦2, ♣4, ♦2 | pair
♣J, ♣9, ♦2, ♦2, ♣Q | pair
♣J, ♣9, ♦2, ♦2, ♥6 | pair
♣J, ♣9, ♦2, ♦2, ♥6 | pair
♣J, ♣9, ♦2, ♥6, ♥6 | pair
♣J, ♣9, ♣9, ♠6, ♠3 | pair
♣J, ♣9, ♣9, ♠6, ♣4 | pair
♣J, ♣9, ♣9, ♠6, ♦2 | pair
♣J, ♣9, ♣9, ♠6, ♣Q | pair
♣J, ♣9, ♣9, ♠6, ♥6 | two pairs
♣J, ♣9, ♣9, ♠6, ♥6 | two pairs
♣J, ♣9, ♣9, ♠3, ♣4 | pair
♣J, ♣9, ♣9, ♠3, ♦2 | pair
♣J, ♣9, ♣9, ♠3, ♣Q | pair
♣J, ♣9, ♣9, ♠3, ♥6 | pair
♣J, ♣9, ♣9, ♠3, ♥6 | pair
♣J, ♣9, ♣9, ♣4, ♦2 | pair
♣J, ♣9, ♣9, ♣4, ♣Q | flush
♣J, ♣9, ♣9, ♣4, ♥6 | pair
♣J, ♣9, ♣9, ♣4, ♥6 | pair
♣J, ♣9, ♣9, ♦2, ♣Q | pair
♣J, ♣9, ♣9, ♦2, ♥6 | pair
♣J, ♣9, ♣9, ♦2, ♥6 | pair
♣J, ♣9, ♣9, ♣Q, ♥6 | pair
♣J, ♣9, ♣9, ♣Q, ♥6 | pair
♣J, ♣9, ♣9, ♥6, ♥6 | two pairs
♣J, ♣9, ♠6, ♠3, ♥6 | pair
♣J, ♣9, ♠6, ♠3, ♥6 | pair
♣J, ♣9, ♠6, ♣4, ♥6 | pair
♣J, ♣9, ♠6, ♣4, ♥6 | pair
♣J, ♣9, ♠6, ♦2, ♥6 | pair
♣J, ♣9, ♠6, ♦2, ♥6 | pair
♣J, ♣9, ♠6, ♣Q, ♥6 | pair
♣J, ♣9, ♠6, ♣Q, ♥6 | pair
♣J, ♣9, ♠6, ♥6, ♥6 | three of a kind
♣J, ♣9, ♠3, ♥6, ♥6 | pair
♣J, ♣9, ♣4, ♥6, ♥6 | pair
♣J, ♣9, ♦2, ♥6, ♥6 | pair
♣J, ♣9, ♣Q, ♥6, ♥6 | pair
♣J, ♦2, ♣9, ♠6, ♦2 | pair
♣J, ♦2, ♣9, ♠6, ♥6 | pair
♣J, ♦2, ♣9, ♠6, ♥6 | pair
♣J, ♦2, ♣9, ♠3, ♦2 | pair
♣J, ♦2, ♣9, ♣4, ♦2 | pair
♣J, ♦2, ♣9, ♦2, ♣Q | pair
♣J, ♦2, ♣9, ♦2, ♥6 | pair
♣J, ♦2, ♣9, ♦2, ♥6 | pair
♣J, ♦2, ♣9, ♥6, ♥6 | pair
♣J, ♦2, ♠6, ♠3, ♦2 | pair
♣J, ♦2, ♠6, ♠3, ♥6 | pair
♣J, ♦2, ♠6, ♠3, ♥6 | pair
♣J, ♦2, ♠6, ♣4, ♦2 | pair
♣J, ♦2, ♠6, ♣4, ♥6 | pair
♣J, ♦2, ♠6, ♣4, ♥6 | pair
♣J, ♦2, ♠6, ♦2, ♣Q | pair
♣J, ♦2, ♠6, ♦2, ♥6 | two pairs
♣J, ♦2, ♠6, ♦2, ♥6 | two pairs
♣J, ♦2, ♠6, ♣Q, ♥6 | pair
♣J, ♦2, ♠6, ♣Q, ♥6 | pair
♣J, ♦2, ♠6, ♥6, ♥6 | three of a kind
♣J, ♦2, ♠3, ♣4, ♦2 | pair
♣J, ♦2, ♠3, ♦2, ♣Q | pair
♣J, ♦2, ♠3, ♦2, ♥6 | pair
♣J, ♦2, ♠3, ♦2, ♥6 | pair
♣J, ♦2, ♠3, ♥6, ♥6 | pair
♣J, ♦2, ♣4, ♦2, ♣Q | pair
♣J, ♦2, ♣4, ♦2, ♥6 | pair
♣J, ♦2, ♣4, ♦2, ♥6 | pair
♣J, ♦2, ♣4, ♥6, ♥6 | pair
♣J, ♦2, ♦2, ♣Q, ♥6 | pair
♣J, ♦2, ♦2, ♣Q, ♥6 | pair
♣J, ♦2, ♦2, ♥6, ♥6 | two pairs
♣J, ♦2, ♣Q, ♥6, ♥6 | pair
♣J, ♣9, ♠6, ♠3, ♥6 | pair
♣J, ♣9, ♠6, ♠3, ♥6 | pair
♣J, ♣9, ♠6, ♣4, ♥6 | pair
♣J, ♣9, ♠6, ♣4, ♥6 | pair
♣J, ♣9, ♠6, ♦2, ♥6 | pair
♣J, ♣9, ♠6, ♦2, ♥6 | pair
♣J, ♣9, ♠6, ♣Q, ♥6 | pair
♣J, ♣9, ♠6, ♣Q, ♥6 | pair
♣J, ♣9, ♠6, ♥6, ♥6 | three of a kind
♣J, ♣9, ♠3, ♥6, ♥6 | pair
♣J, ♣9, ♣4, ♥6, ♥6 | pair
♣J, ♣9, ♦2, ♥6, ♥6 | pair
♣J, ♣9, ♣Q, ♥6, ♥6 | pair
♣J, ♠6, ♠3, ♣4, ♥6 | pair
♣J, ♠6, ♠3, ♣4, ♥6 | pair
♣J, ♠6, ♠3, ♦2, ♥6 | pair
♣J, ♠6, ♠3, ♦2, ♥6 | pair
♣J, ♠6, ♠3, ♣Q, ♥6 | pair
♣J, ♠6, ♠3, ♣Q, ♥6 | pair
♣J, ♠6, ♠3, ♥6, ♥6 | three of a kind
♣J, ♠6, ♣4, ♦2, ♥6 | pair
♣J, ♠6, ♣4, ♦2, ♥6 | pair
♣J, ♠6, ♣4, ♣Q, ♥6 | pair
♣J, ♠6, ♣4, ♣Q, ♥6 | pair
♣J, ♠6, ♣4, ♥6, ♥6 | three of a kind
♣J, ♠6, ♦2, ♣Q, ♥6 | pair
♣J, ♠6, ♦2, ♣Q, ♥6 | pair
♣J, ♠6, ♦2, ♥6, ♥6 | three of a kind
♣J, ♠6, ♣Q, ♥6, ♥6 | three of a kind
♣J, ♠3, ♣4, ♥6, ♥6 | pair
♣J, ♠3, ♦2, ♥6, ♥6 | pair
♣J, ♠3, ♣Q, ♥6, ♥6 | pair
♣J, ♣4, ♦2, ♥6, ♥6 | pair
♣J, ♣4, ♣Q, ♥6, ♥6 | pair
♣J, ♦2, ♣Q, ♥6, ♥6 | pair
♣9, ♦2, ♣9, ♠6, ♠3 | pair
♣9, ♦2, ♣9, ♠6, ♣4 | pair
♣9, ♦2, ♣9, ♠6, ♦2 | two pairs
♣9, ♦2, ♣9, ♠6, ♣Q | pair
♣9, ♦2, ♣9, ♠6, ♥6 | two pairs
♣9, ♦2, ♣9, ♠6, ♥6 | two pairs
♣9, ♦2, ♣9, ♠3, ♣4 | pair
♣9, ♦2, ♣9, ♠3, ♦2 | two pairs
♣9, ♦2, ♣9, ♠3, ♣Q | pair
♣9, ♦2, ♣9, ♠3, ♥6 | pair
♣9, ♦2, ♣9, ♠3, ♥6 | pair
♣9, ♦2, ♣9, ♣4, ♦2 | two pairs
♣9, ♦2, ♣9, ♣4, ♣Q | pair
♣9, ♦2, ♣9, ♣4, ♥6 | pair
♣9, ♦2, ♣9, ♣4, ♥6 | pair
♣9, ♦2, ♣9, ♦2, ♣Q | two pairs
♣9, ♦2, ♣9, ♦2, ♥6 | two pairs
♣9, ♦2, ♣9, ♦2, ♥6 | two pairs
♣9, ♦2, ♣9, ♣Q, ♥6 | pair
