♥8, ♥8, ♦10, ♦10, ♥10 | fullhouse
♥8, ♥8, ♦10, ♦10, ♠6 | two pairs
♥8, ♥8, ♦10, ♦10, ♥9 | two pairs
♥8, ♥8, ♦10, ♦10, ♣J | two pairs
♥8, ♥8, ♦10, ♦10, ♣6 | two pairs
♥8, ♥8, ♦10, ♦10, ♥K | two pairs
♥8, ♥8, ♦10, ♦10, ♣10 | fullhouse
♥8, ♥8, ♦10, ♦10, ♣2 | two pairs
♥8, ♥8, ♦10, ♦10, ♦A | two pairs
♥8, ♥8, ♦10, ♦10, ♣K | two pairs
♥8, ♥8, ♦10, ♦10, ♥K | two pairs
♥8, ♥8, ♦10, ♦10, ♠3 | two pairs
♥8, ♥8, ♦10, ♥10, ♠6 | two pairs
♥8, ♥8, ♦10, ♥10, ♥9 | two pairs
♥8, ♥8, ♦10, ♥10, ♣J | two pairs
♥8, ♥8, ♦10, ♥10, ♣6 | two pairs
♥8, ♥8, ♦10, ♥10, ♥K | two pairs
♥8, ♥8, ♦10, ♥10, ♣10 | fullhouse
♥8, ♥8, ♦10, ♥10, ♣2 | two pairs
♥8, ♥8, ♦10, ♥10, ♦A | two pairs
♥8, ♥8, ♦10, ♥10, ♣K | two pairs
♥8, ♥8, ♦10, ♥10, ♥K | two pairs
♥8, ♥8, ♦10, ♥10, ♠3 | two pairs
♥8, ♥8, ♦10, ♠6, ♥9 | pair
♥8, ♥8, ♦10, ♠6, ♣J | pair
♥8, ♥8, ♦10, ♠6, ♣6 | two pairs
♥8, ♥8, ♦10, ♠6, ♥K | pair
♥8, ♥8, ♦10, ♠6, ♣10 | two pairs
♥8, ♥8, ♦10, ♠6, ♣2 | pair
♥8, ♥8, ♦10, ♠6, ♦A | pair
♥8, ♥8, ♦10, ♠6, ♣K | pair
♥8, ♥8, ♦10, ♠6, ♥K | pair
♥8, ♥8, ♦10, ♠6, ♠3 | pair
♥8, ♥8, ♦10, ♥9, ♣J | pair
♥8, ♥8, ♦10, ♥9, ♣6 | pair
♥8, ♥8, ♦10, ♥9, ♥K | pair
♥8, ♥8, ♦10, ♥9, ♣10 | two pairs
♥8, ♥8, ♦10, ♥9, ♣2 | pair
♥8, ♥8, ♦10, ♥9, ♦A | pair
♥8, ♥8, ♦10, ♥9, ♣K | pair
♥8, ♥8, ♦10, ♥9, ♥K | pair
♥8, ♥8, ♦10, ♥9, ♠3 | pair
♥8, ♥8, ♦10, ♣J, ♣6 | pair
♥8, ♥8, ♦10, ♣J, ♥K | pair
