♣6, ♠K, ♦5, ♥7, ♠K | pair
♣6, ♠K, ♦5, ♠K, ♣9 | pair
♣6, ♠K, ♦5, ♠K, ♥J | pair
♣6, ♠K, ♦5, ♠K, ♥9 | pair
♣6, ♠K, ♦5, ♠K, ♥3 | pair
♣6, ♠K, ♦5, ♠K, ♣4 | pair
♣6, ♠K, ♦5, ♣9, ♥9 | pair
♣6, ♠K, ♥7, ♠K, ♣9 | pair
♣6, ♠K, ♥7, ♠K, ♥J | pair
♣6, ♠K, ♥7, ♠K, ♥9 | pair
♣6, ♠K, ♥7, ♠K, ♥3 | pair
♣6, ♠K, ♥7, ♠K, ♣4 | pair
♣6, ♠K, ♥7, ♣9, ♥9 | pair
♣6, ♠K, ♠K, ♣9, ♥J | pair
♣6, ♠K, ♠K, ♣9, ♥9 | two pairs
♣6, ♠K, ♠K, ♣9, ♥3 | pair
♣6, ♠K, ♠K, ♣9, ♣4 | pair
♣6, ♠K, ♠K, ♥J, ♥9 | pair
♣6, ♠K, ♠K, ♥J, ♥3 | pair
♣6, ♠K, ♠K, ♥J, ♣4 | pair
♣6, ♠K, ♠K, ♥9, ♥3 | pair
♣6, ♠K, ♠K, ♥9, ♣4 | pair
♣6, ♠K, ♠K, ♥3, ♣4 | pair
♣6, ♠K, ♣9, ♥J, ♥9 | pair
♣6, ♠K, ♣9, ♥9, ♥3 | pair
♣6, ♠K, ♣9, ♥9, ♣4 | pair
♣6, ♦5, ♥7, ♣9, ♥9 | pair
♣6, ♦5, ♥7, ♥3, ♣4 | straight
♣6, ♦5, ♠K, ♣9, ♥9 | pair
♣6, ♦5, ♣9, ♥J, ♥9 | pair
♣6, ♦5, ♣9, ♥9, ♥3 | pair
♣6, ♦5, ♣9, ♥9, ♣4 | pair
♣6, ♥7, ♠K, ♣9, ♥9 | pair
♣6, ♥7, ♣9, ♥J, ♥9 | pair
♣6, ♥7, ♣9, ♥9, ♥3 | pair
♣6, ♥7, ♣9, ♥9, ♣4 | pair
♣6, ♠K, ♣9, ♥J, ♥9 | pair
♣6, ♠K, ♣9, ♥9, ♥3 | pair
♣6, ♠K, ♣9, ♥9, ♣4 | pair
