♠7, ♣10, ♦5, ♥A, ♠10 | pair
♠7, ♣10, ♦5, ♥A, ♥A | pair
♠7, ♣10, ♦5, ♣3, ♠10 | pair
♠7, ♣10, ♦5, ♦2, ♦2 | pair
♠7, ♣10, ♦5, ♦2, ♠10 | pair
♠7, ♣10, ♦5, ♣6, ♠10 | pair
♠7, ♣10, ♦5, ♦2, ♠10 | pair
♠7, ♣10, ♦5, ♣4, ♠10 | pair
♠7, ♣10, ♦5, ♣4, ♥4 | pair
♠7, ♣10, ♦5, ♠10, ♥8 | pair
♠7, ♣10, ♦5, ♠10, ♥A | pair
♠7, ♣10, ♦5, ♠10, ♦8 | pair
♠7, ♣10, ♦5, ♠10, ♥4 | pair
♠7, ♣10, ♦5, ♥8, ♦8 | pair
♠7, ♣10, ♥A, ♣3, ♠10 | pair
♠7, ♣10, ♥A, ♣3, ♥A | pair
♠7, ♣10, ♥A, ♦2, ♦2 | pair
♠7, ♣10, ♥A, ♦2, ♠10 | pair
♠7, ♣10, ♥A, ♦2, ♥A | pair
♠7, ♣10, ♥A, ♣6, ♠10 | pair
♠7, ♣10, ♥A, ♣6, ♥A | pair
♠7, ♣10, ♥A, ♦2, ♠10 | pair
♠7, ♣10, ♥A, ♦2, ♥A | pair
♠7, ♣10, ♥A, ♣4, ♠10 | pair
♠7, ♣10, ♥A, ♣4, ♥A | pair
♠7, ♣10, ♥A, ♣4, ♥4 | pair
♠7, ♣10, ♥A, ♠10, ♥8 | pair
♠7, ♣10, ♥A, ♠10, ♥A | two pairs
♠7, ♣10, ♥A, ♠10, ♦8 | pair
♠7, ♣10, ♥A, ♠10, ♥4 | pair
♠7, ♣10, ♥A, ♥8, ♥A | pair
♠7, ♣10, ♥A, ♥8, ♦8 | pair
♠7, ♣10, ♥A, ♥A, ♦8 | pair
♠7, ♣10, ♥A, ♥A, ♥4 | pair
♠7, ♣10, ♣3, ♦2, ♦2 | pair
♠7, ♣10, ♣3, ♦2, ♠10 | pair
♠7, ♣10, ♣3, ♣6, ♠10 | pair
♠7, ♣10, ♣3, ♦2, ♠10 | pair
♠7, ♣10, ♣3, ♣4, ♠10 | pair
♠7, ♣10, ♣3, ♣4, ♥4 | pair
♠7, ♣10, ♣3, ♠10, ♥8 | pair
♠7, ♣10, ♣3, ♠10, ♥A | pair
♠7, ♣10, ♣3, ♠10, ♦8 | pair
♠7, ♣10, ♣3, ♠10, ♥4 | pair
♠7, ♣10, ♣3, ♥8, ♦8 | pair
♠7, ♣10, ♦2, ♣6, ♦2 | pair
♠7, ♣10, ♦2, ♣6, ♠10 | pair
♠7, ♣10, ♦2, ♦2, ♣4 | pair
♠7, ♣10, ♦2, ♦2, ♠10 | two pairs
♠7, ♣10, ♦2, ♦2, ♥8 | pair
♠7, ♣10, ♦2, ♦2, ♥A | pair
♠7, ♣10, ♦2, ♦2, ♦8 | pair
♠7, ♣10, ♦2, ♦2, ♥4 | pair
♠7, ♣10, ♦2, ♣4, ♠10 | pair
♠7, ♣10, ♦2, ♣4, ♥4 | pair
♠7, ♣10, ♦2, ♠10, ♥8 | pair
♠7, ♣10, ♦2, ♠10, ♥A | pair
♠7, ♣10, ♦2, ♠10, ♦8 | pair
♠7, ♣10, ♦2, ♠10, ♥4 | pair
♠7, ♣10, ♦2, ♥8, ♦8 | pair
♠7, ♣10, ♣6, ♦2, ♠10 | pair
♠7, ♣10, ♣6, ♣4, ♠10 | pair
♠7, ♣10, ♣6, ♣4, ♥4 | pair
♠7, ♣10, ♣6, ♠10, ♥8 | pair
♠7, ♣10, ♣6, ♠10, ♥A | pair
♠7, ♣10, ♣6, ♠10, ♦8 | pair
