♣4, ♠7, ♠8, ♦K, ♥K | pair
♣4, ♠7, ♠8, ♦K, ♠K | pair
♣4, ♠7, ♠8, ♦A, ♠A | pair
♣4, ♠7, ♠8, ♥K, ♠K | pair
♣4, ♠7, ♦K, ♥J, ♥K | pair
♣4, ♠7, ♦K, ♥J, ♠K | pair
♣4, ♠7, ♦K, ♦A, ♥K | pair
♣4, ♠7, ♦K, ♦A, ♠K | pair
♣4, ♠7, ♦K, ♦A, ♠A | pair
♣4, ♠7, ♦K, ♥K, ♠K | three of a kind
♣4, ♠7, ♦K, ♥K, ♦2 | pair
♣4, ♠7, ♦K, ♥K, ♠A | pair
♣4, ♠7, ♦K, ♥K, ♦5 | pair
♣4, ♠7, ♦K, ♥K, ♣9 | pair
♣4, ♠7, ♦K, ♠K, ♦2 | pair
♣4, ♠7, ♦K, ♠K, ♠A | pair
♣4, ♠7, ♦K, ♠K, ♦5 | pair
♣4, ♠7, ♦K, ♠K, ♣9 | pair
♣4, ♠7, ♥J, ♦A, ♠A | pair
♣4, ♠7, ♥J, ♥K, ♠K | pair
♣4, ♠7, ♦A, ♥K, ♠K | pair
♣4, ♠7, ♦A, ♥K, ♠A | pair
♣4, ♠7, ♦A, ♠K, ♠A | pair
♣4, ♠7, ♦A, ♦2, ♠A | pair
♣4, ♠7, ♦A, ♠A, ♦5 | pair
♣4, ♠7, ♦A, ♠A, ♣9 | pair
♣4, ♠7, ♥K, ♠K, ♦2 | pair
♣4, ♠7, ♥K, ♠K, ♠A | pair
♣4, ♠7, ♥K, ♠K, ♦5 | pair
♣4, ♠7, ♥K, ♠K, ♣9 | pair
♣4, ♠8, ♦K, ♥J, ♥K | pair
♣4, ♠8, ♦K, ♥J, ♠K | pair
♣4, ♠8, ♦K, ♦A, ♥K | pair
♣4, ♠8, ♦K, ♦A, ♠K | pair
♣4, ♠8, ♦K, ♦A, ♠A | pair
♣4, ♠8, ♦K, ♥K, ♠K | three of a kind
♣4, ♠8, ♦K, ♥K, ♦2 | pair
♣4, ♠8, ♦K, ♥K, ♠A | pair
♣4, ♠8, ♦K, ♥K, ♦5 | pair
♣4, ♠8, ♦K, ♥K, ♣9 | pair
♣4, ♠8, ♦K, ♠K, ♦2 | pair
♣4, ♠8, ♦K, ♠K, ♠A | pair
♣4, ♠8, ♦K, ♠K, ♦5 | pair
♣4, ♠8, ♦K, ♠K, ♣9 | pair
♣4, ♠8, ♥J, ♦A, ♠A | pair
♣4, ♠8, ♥J, ♥K, ♠K | pair
♣4, ♠8, ♦A, ♥K, ♠K | pair
♣4, ♠8, ♦A, ♥K, ♠A | pair
♣4, ♠8, ♦A, ♠K, ♠A | pair
♣4, ♠8, ♦A, ♦2, ♠A | pair
