♦6, ♣3, ♦Q, ♣10, ♥6 | pair
♦6, ♣3, ♦Q, ♦4, ♥6 | pair
♦6, ♣3, ♦Q, ♥6, ♣7 | pair
♦6, ♣3, ♦Q, ♥6, ♦2 | pair
♦6, ♣3, ♦Q, ♥6, ♦J | pair
♦6, ♣3, ♦Q, ♥6, ♦K | pair
♦6, ♣3, ♦Q, ♥6, ♥A | pair
♦6, ♣3, ♦Q, ♥6, ♠7 | pair
♦6, ♣3, ♦Q, ♣7, ♠7 | pair
♦6, ♣3, ♣10, ♦4, ♥6 | pair
♦6, ♣3, ♣10, ♥6, ♣7 | pair
♦6, ♣3, ♣10, ♥6, ♦2 | pair
♦6, ♣3, ♣10, ♥6, ♦J | pair
♦6, ♣3, ♣10, ♥6, ♦K | pair
♦6, ♣3, ♣10, ♥6, ♥A | pair
♦6, ♣3, ♣10, ♥6, ♠7 | pair
♦6, ♣3, ♣10, ♣7, ♠7 | pair
♦6, ♣3, ♦4, ♥6, ♣7 | pair
♦6, ♣3, ♦4, ♥6, ♦2 | pair
♦6, ♣3, ♦4, ♥6, ♦J | pair
♦6, ♣3, ♦4, ♥6, ♦K | pair
♦6, ♣3, ♦4, ♥6, ♥A | pair
♦6, ♣3, ♦4, ♥6, ♠7 | pair
♦6, ♣3, ♦4, ♣7, ♠7 | pair
♦6, ♣3, ♥6, ♣7, ♦2 | pair
♦6, ♣3, ♥6, ♣7, ♦J | pair
♦6, ♣3, ♥6, ♣7, ♦K | pair
♦6, ♣3, ♥6, ♣7, ♥A | pair
♦6, ♣3, ♥6, ♣7, ♠7 | two pairs
♦6, ♣3, ♥6, ♦2, ♦J | pair
♦6, ♣3, ♥6, ♦2, ♦K | pair
♦6, ♣3, ♥6, ♦2, ♥A | pair
♦6, ♣3, ♥6, ♦2, ♠7 | pair
♦6, ♣3, ♥6, ♦J, ♦K | pair
♦6, ♣3, ♥6, ♦J, ♥A | pair
♦6, ♣3, ♥6, ♦J, ♠7 | pair
♦6, ♣3, ♥6, ♦K, ♥A | pair
♦6, ♣3, ♥6, ♦K, ♠7 | pair
