♦2, ♣Q, ♦4, ♣A, ♣Q | pair
♦2, ♣Q, ♦4, ♣A, ♣Q | pair
♦2, ♣Q, ♦4, ♣A, ♣4 | pair
♦2, ♣Q, ♦4, ♣Q, ♣J | pair
♦2, ♣Q, ♦4, ♣Q, ♦3 | pair
♦2, ♣Q, ♦4, ♣Q, ♠5 | pair
♦2, ♣Q, ♦4, ♣Q, ♣Q | three of a kind
♦2, ♣Q, ♦4, ♣Q, ♣4 | two pairs
♦2, ♣Q, ♦4, ♣Q, ♣J | pair
♦2, ♣Q, ♦4, ♣J, ♣Q | pair
♦2, ♣Q, ♦4, ♣J, ♣4 | pair
♦2, ♣Q, ♦4, ♣J, ♣J | pair
♦2, ♣Q, ♦4, ♦3, ♣Q | pair
♦2, ♣Q, ♦4, ♦3, ♣4 | pair
♦2, ♣Q, ♦4, ♠5, ♣Q | pair
♦2, ♣Q, ♦4, ♠5, ♣4 | pair
♦2, ♣Q, ♦4, ♣Q, ♣4 | two pairs
♦2, ♣Q, ♦4, ♣Q, ♣J | pair
♦2, ♣Q, ♦4, ♣4, ♣J | pair
♦2, ♣Q, ♣A, ♣Q, ♣J | pair
♦2, ♣Q, ♣A, ♣Q, ♦3 | pair
♦2, ♣Q, ♣A, ♣Q, ♠5 | pair
♦2, ♣Q, ♣A, ♣Q, ♣Q | three of a kind
♦2, ♣Q, ♣A, ♣Q, ♣4 | pair
♦2, ♣Q, ♣A, ♣Q, ♣J | pair
♦2, ♣Q, ♣A, ♣J, ♣Q | pair
♦2, ♣Q, ♣A, ♣J, ♣J | pair
♦2, ♣Q, ♣A, ♦3, ♣Q | pair
♦2, ♣Q, ♣A, ♠5, ♣Q | pair
♦2, ♣Q, ♣A, ♣Q, ♣4 | pair
♦2, ♣Q, ♣A, ♣Q, ♣J | pair
♦2, ♣Q, ♣Q, ♣J, ♦3 | pair
♦2, ♣Q, ♣Q, ♣J, ♠5 | pair
♦2, ♣Q, ♣Q, ♣J, ♣Q | three of a kind
♦2, ♣Q, ♣Q, ♣J, ♣4 | pair
♦2, ♣Q, ♣Q, ♣J, ♣J | two pairs
♦2, ♣Q, ♣Q, ♦3, ♠5 | pair
♦2, ♣Q, ♣Q, ♦3, ♣Q | three of a kind
♦2, ♣Q, ♣Q, ♦3, ♣4 | pair
♦2, ♣Q, ♣Q, ♦3, ♣J | pair
♦2, ♣Q, ♣Q, ♠5, ♣Q | three of a kind
♦2, ♣Q, ♣Q, ♠5, ♣4 | pair
♦2, ♣Q, ♣Q, ♠5, ♣J | pair
♦2, ♣Q, ♣Q, ♣Q, ♣4 | three of a kind
♦2, ♣Q, ♣Q, ♣Q, ♣J | three of a kind
♦2, ♣Q, ♣Q, ♣4, ♣J | pair
♦2, ♣Q, ♣J, ♦3, ♣Q | pair
♦2, ♣Q, ♣J, ♦3, ♣J | pair
♦2, ♣Q, ♣J, ♠5, ♣Q | pair
♦2, ♣Q, ♣J, ♠5, ♣J | pair
♦2, ♣Q, ♣J, ♣Q, ♣4 | pair
♦2, ♣Q, ♣J, ♣Q, ♣J | two pairs
♦2, ♣Q, ♣J, ♣4, ♣J | pair
♦2, ♣Q, ♦3, ♠5, ♣Q | pair
♦2, ♣Q, ♦3, ♣Q, ♣4 | pair
♦2, ♣Q, ♦3, ♣Q, ♣J | pair
♦2, ♣Q, ♠5, ♣Q, ♣4 | pair
♦2, ♣Q, ♠5, ♣Q, ♣J | pair
♦2, ♣Q, ♣Q, ♣4, ♣J | pair
♦2, ♦4, ♣A, ♣Q, ♣Q | pair
♦2, ♦4, ♣A, ♣Q, ♣4 | pair
♦2, ♦4, ♣A, ♣J, ♣4 | pair
♦2, ♦4, ♣A, ♣J, ♣J | pair
♦2, ♦4, ♣A, ♦3, ♠5 | straight
♦2, ♦4, ♣A, ♦3, ♣4 | pair
♦2, ♦4, ♣A, ♠5, ♣4 | pair
♦2, ♦4, ♣A, ♣Q, ♣4 | pair
♦2, ♦4, ♣A, ♣4, ♣J | pair
♦2, ♦4, ♣Q, ♣J, ♣Q | pair
♦2, ♦4, ♣Q, ♣J, ♣4 | pair
♦2, ♦4, ♣Q, ♣J, ♣J | pair
♦2, ♦4, ♣Q, ♦3, ♣Q | pair
♦2, ♦4, ♣Q, ♦3, ♣4 | pair
♦2, ♦4, ♣Q, ♠5, ♣Q | pair
♦2, ♦4, ♣Q, ♠5, ♣4 | pair
♦2, ♦4, ♣Q, ♣Q, ♣4 | two pairs
♦2, ♦4, ♣Q, ♣Q, ♣J | pair
♦2, ♦4, ♣Q, ♣4, ♣J | pair
♦2, ♦4, ♣J, ♦3, ♣4 | pair
♦2, ♦4, ♣J, ♦3, ♣J | pair
♦2, ♦4, ♣J, ♠5, ♣4 | pair
♦2, ♦4, ♣J, ♠5, ♣J | pair
♦2, ♦4, ♣J, ♣Q, ♣4 | pair
♦2, ♦4, ♣J, ♣Q, ♣J | pair
♦2, ♦4, ♣J, ♣4, ♣J | two pairs
♦2, ♦4, ♦3, ♠5, ♣4 | pair
♦2, ♦4, ♦3, ♣Q, ♣4 | pair
♦2, ♦4, ♦3, ♣4, ♣J | pair
♦2, ♦4, ♠5, ♣Q, ♣4 | pair
♦2, ♦4, ♠5, ♣4, ♣J | pair
♦2, ♦4, ♣Q, ♣4, ♣J | pair
♦2, ♣A, ♣Q, ♣J, ♣Q | pair
♦2, ♣A, ♣Q, ♣J, ♣J | pair
♦2, ♣A, ♣Q, ♦3, ♣Q | pair
♦2, ♣A, ♣Q, ♠5, ♣Q | pair
♦2, ♣A, ♣Q, ♣Q, ♣4 | pair
♦2, ♣A, ♣Q, ♣Q, ♣J | pair
♦2, ♣A, ♣J, ♦3, ♣J | pair
♦2, ♣A, ♣J, ♠5, ♣J | pair
♦2, ♣A, ♣J, ♣Q, ♣J | pair
♦2, ♣A, ♣J, ♣4, ♣J | pair
♦2, ♣A, ♦3, ♠5, ♣4 | straight
♦2, ♣Q, ♣J, ♦3, ♣Q | pair
♦2, ♣Q, ♣J, ♦3, ♣J | pair
♦2, ♣Q, ♣J, ♠5, ♣Q | pair
♦2, ♣Q, ♣J, ♠5, ♣J | pair
♦2, ♣Q, ♣J, ♣Q, ♣4 | pair
♦2, ♣Q, ♣J, ♣Q, ♣J | two pairs
♦2, ♣Q, ♣J, ♣4, ♣J | pair
♦2, ♣Q, ♦3, ♠5, ♣Q | pair
♦2, ♣Q, ♦3, ♣Q, ♣4 | pair
♦2, ♣Q, ♦3, ♣Q, ♣J | pair
♦2, ♣Q, ♠5, ♣Q, ♣4 | pair
♦2, ♣Q, ♠5, ♣Q, ♣J | pair
♦2, ♣Q, ♣Q, ♣4, ♣J | pair
♦2, ♣J, ♦3, ♠5, ♣J | pair
♦2, ♣J, ♦3, ♣Q, ♣J | pair
♦2, ♣J, ♦3, ♣4, ♣J | pair
♦2, ♣J, ♠5, ♣Q, ♣J | pair
♦2, ♣J, ♠5, ♣4, ♣J | pair
♦2, ♣J, ♣Q, ♣4, ♣J | pair
♣Q, ♦4, ♣A, ♣Q, ♣J | pair
♣Q, ♦4, ♣A, ♣Q, ♦3 | pair
♣Q, ♦4, ♣A, ♣Q, ♠5 | pair
♣Q, ♦4, ♣A, ♣Q, ♣Q | three of a kind
♣Q, ♦4, ♣A, ♣Q, ♣4 | two pairs
♣Q, ♦4, ♣A, ♣Q, ♣J | pair
♣Q, ♦4, ♣A, ♣J, ♣Q | pair
♣Q, ♦4, ♣A, ♣J, ♣4 | pair
♣Q, ♦4, ♣A, ♣J, ♣J | pair
♣Q, ♦4, ♣A, ♦3, ♣Q | pair
♣Q, ♦4, ♣A, ♦3, ♣4 | pair
♣Q, ♦4, ♣A, ♠5, ♣Q | pair
♣Q, ♦4, ♣A, ♠5, ♣4 | pair
♣Q, ♦4, ♣A, ♣Q, ♣4 | two pairs
♣Q, ♦4, ♣A, ♣Q, ♣J | pair
♣Q, ♦4, ♣A, ♣4, ♣J | pair
♣Q, ♦4, ♣Q, ♣J, ♦3 | pair
♣Q, ♦4, ♣Q, ♣J, ♠5 | pair
♣Q, ♦4, ♣Q, ♣J, ♣Q | three of a kind
♣Q, ♦4, ♣Q, ♣J, ♣4 | two pairs
♣Q, ♦4, ♣Q, ♣J, ♣J | two pairs
♣Q, ♦4, ♣Q, ♦3, ♠5 | pair
♣Q, ♦4, ♣Q, ♦3, ♣Q | three of a kind
♣Q, ♦4, ♣Q, ♦3, ♣4 | two pairs
♣Q, ♦4, ♣Q, ♦3, ♣J | pair
♣Q, ♦4, ♣Q, ♠5, ♣Q | three of a kind
♣Q, ♦4, ♣Q, ♠5, ♣4 | two pairs
♣Q, ♦4, ♣Q, ♠5, ♣J | pair
♣Q, ♦4, ♣Q, ♣Q, ♣4 | fullhouse
♣Q, ♦4, ♣Q, ♣Q, ♣J | three of a kind
♣Q, ♦4, ♣Q, ♣4, ♣J | two pairs
♣Q, ♦4, ♣J, ♦3, ♣Q | pair
♣Q, ♦4, ♣J, ♦3, ♣4 | pair
♣Q, ♦4, ♣J, ♦3, ♣J | pair
♣Q, ♦4, ♣J, ♠5, ♣Q | pair
♣Q, ♦4, ♣J, ♠5, ♣4 | pair
♣Q, ♦4, ♣J, ♠5, ♣J | pair
♣Q, ♦4, ♣J, ♣Q, ♣4 | two pairs
♣Q, ♦4, ♣J, ♣Q, ♣J | two pairs
♣Q, ♦4, ♣J, ♣4, ♣J | two pairs
♣Q, ♦4, ♦3, ♠5, ♣Q | pair
♣Q, ♦4, ♦3, ♠5, ♣4 | pair
♣Q, ♦4, ♦3, ♣Q, ♣4 | two pairs
♣Q, ♦4, ♦3, ♣Q, ♣J | pair
♣Q, ♦4, ♦3, ♣4, ♣J | pair
♣Q, ♦4, ♠5, ♣Q, ♣4 | two pairs
♣Q, ♦4, ♠5, ♣Q, ♣J | pair
♣Q, ♦4, ♠5, ♣4, ♣J | pair
♣Q, ♦4, ♣Q, ♣4, ♣J | two pairs
♣Q, ♣A, ♣Q, ♣J, ♦3 | pair
♣Q, ♣A, ♣Q, ♣J, ♠5 | pair
♣Q, ♣A, ♣Q, ♣J, ♣Q | flush
♣Q, ♣A, ♣Q, ♣J, ♣4 | flush
♣Q, ♣A, ♣Q, ♣J, ♣J | flush
♣Q, ♣A, ♣Q, ♦3, ♠5 | pair
♣Q, ♣A, ♣Q, ♦3, ♣Q | three of a kind
♣Q, ♣A, ♣Q, ♦3, ♣4 | pair
♣Q, ♣A, ♣Q, ♦3, ♣J | pair
♣Q, ♣A, ♣Q, ♠5, ♣Q | three of a kind
♣Q, ♣A, ♣Q, ♠5, ♣4 | pair
♣Q, ♣A, ♣Q, ♠5, ♣J | pair
♣Q, ♣A, ♣Q, ♣Q, ♣4 | flush
♣Q, ♣A, ♣Q, ♣Q, ♣J | flush
♣Q, ♣A, ♣Q, ♣4, ♣J | flush
♣Q, ♣A, ♣J, ♦3, ♣Q | pair
♣Q, ♣A, ♣J, ♦3, ♣J | pair
♣Q, ♣A, ♣J, ♠5, ♣Q | pair
♣Q, ♣A, ♣J, ♠5, ♣J | pair
♣Q, ♣A, ♣J, ♣Q, ♣4 | flush
♣Q, ♣A, ♣J, ♣Q, ♣J | flush
♣Q, ♣A, ♣J, ♣4, ♣J | flush
♣Q, ♣A, ♦3, ♠5, ♣Q | pair
♣Q, ♣A, ♦3, ♣Q, ♣4 | pair
♣Q, ♣A, ♦3, ♣Q, ♣J | pair
♣Q, ♣A, ♠5, ♣Q, ♣4 | pair
♣Q, ♣A, ♠5, ♣Q, ♣J | pair
♣Q, ♣A, ♣Q, ♣4, ♣J | flush
♣Q, ♣Q, ♣J, ♦3, ♠5 | pair
♣Q, ♣Q, ♣J, ♦3, ♣Q | three of a kind
♣Q, ♣Q, ♣J, ♦3, ♣4 | pair
♣Q, ♣Q, ♣J, ♦3, ♣J | two pairs
♣Q, ♣Q, ♣J, ♠5, ♣Q | three of a kind
♣Q, ♣Q, ♣J, ♠5, ♣4 | pair
♣Q, ♣Q, ♣J, ♠5, ♣J | two pairs
♣Q, ♣Q, ♣J, ♣Q, ♣4 | flush
♣Q, ♣Q, ♣J, ♣Q, ♣J | fullhouse
♣Q, ♣Q, ♣J, ♣4, ♣J | flush
♣Q, ♣Q, ♦3, ♠5, ♣Q | three of a kind
♣Q, ♣Q, ♦3, ♠5, ♣4 | pair
♣Q, ♣Q, ♦3, ♠5, ♣J | pair
♣Q, ♣Q, ♦3, ♣Q, ♣4 | three of a kind
♣Q, ♣Q, ♦3, ♣Q, ♣J | three of a kind
♣Q, ♣Q, ♦3, ♣4, ♣J | pair
♣Q, ♣Q, ♠5, ♣Q, ♣4 | three of a kind
♣Q, ♣Q, ♠5, ♣Q, ♣J | three of a kind
♣Q, ♣Q, ♠5, ♣4, ♣J | pair
♣Q, ♣Q, ♣Q, ♣4, ♣J | flush
♣Q, ♣J, ♦3, ♠5, ♣Q | pair
♣Q, ♣J, ♦3, ♠5, ♣J | pair
♣Q, ♣J, ♦3, ♣Q, ♣4 | pair
♣Q, ♣J, ♦3, ♣Q, ♣J | two pairs
♣Q, ♣J, ♦3, ♣4, ♣J | pair
♣Q, ♣J, ♠5, ♣Q, ♣4 | pair
♣Q, ♣J, ♠5, ♣Q, ♣J | two pairs
♣Q, ♣J, ♠5, ♣4, ♣J | pair
♣Q, ♣J, ♣Q, ♣4, ♣J | flush
♣Q, ♦3, ♠5, ♣Q, ♣4 | pair
♣Q, ♦3, ♠5, ♣Q, ♣J | pair
♣Q, ♦3, ♣Q, ♣4, ♣J | pair
♣Q, ♠5, ♣Q, ♣4, ♣J | pair
♦4, ♣A, ♣Q, ♣J, ♣Q | pair
♦4, ♣A, ♣Q, ♣J, ♣4 | pair
♦4, ♣A, ♣Q, ♣J, ♣J | pair
♦4, ♣A, ♣Q, ♦3, ♣Q | pair
♦4, ♣A, ♣Q, ♦3, ♣4 | pair
♦4, ♣A, ♣Q, ♠5, ♣Q | pair
♦4, ♣A, ♣Q, ♠5, ♣4 | pair
♦4, ♣A, ♣Q, ♣Q, ♣4 | two pairs
♦4, ♣A, ♣Q, ♣Q, ♣J | pair
♦4, ♣A, ♣Q, ♣4, ♣J | pair
♦4, ♣A, ♣J, ♦3, ♣4 | pair
♦4, ♣A, ♣J, ♦3, ♣J | pair
♦4, ♣A, ♣J, ♠5, ♣4 | pair
♦4, ♣A, ♣J, ♠5, ♣J | pair
♦4, ♣A, ♣J, ♣Q, ♣4 | pair
♦4, ♣A, ♣J, ♣Q, ♣J | pair
♦4, ♣A, ♣J, ♣4, ♣J | two pairs
♦4, ♣A, ♦3, ♠5, ♣4 | pair
♦4, ♣A, ♦3, ♣Q, ♣4 | pair
♦4, ♣A, ♦3, ♣4, ♣J | pair
♦4, ♣A, ♠5, ♣Q, ♣4 | pair
♦4, ♣A, ♠5, ♣4, ♣J | pair
♦4, ♣A, ♣Q, ♣4, ♣J | pair
♦4, ♣Q, ♣J, ♦3, ♣Q | pair
♦4, ♣Q, ♣J, ♦3, ♣4 | pair
♦4, ♣Q, ♣J, ♦3, ♣J | pair
♦4, ♣Q, ♣J, ♠5, ♣Q | pair
♦4, ♣Q, ♣J, ♠5, ♣4 | pair
♦4, ♣Q, ♣J, ♠5, ♣J | pair
♦4, ♣Q, ♣J, ♣Q, ♣4 | two pairs
♦4, ♣Q, ♣J, ♣Q, ♣J | two pairs
♦4, ♣Q, ♣J, ♣4, ♣J | two pairs
♦4, ♣Q, ♦3, ♠5, ♣Q | pair
♦4, ♣Q, ♦3, ♠5, ♣4 | pair
♦4, ♣Q, ♦3, ♣Q, ♣4 | two pairs
♦4, ♣Q, ♦3, ♣Q, ♣J | pair
♦4, ♣Q, ♦3, ♣4, ♣J | pair
♦4, ♣Q, ♠5, ♣Q, ♣4 | two pairs
♦4, ♣Q, ♠5, ♣Q, ♣J | pair
♦4, ♣Q, ♠5, ♣4, ♣J | pair
♦4, ♣Q, ♣Q, ♣4, ♣J | two pairs
