♦8, ♣4, ♣5, ♠4, ♦Q | pair
♦8, ♣4, ♣5, ♠4, ♣10 | pair
♦8, ♣4, ♣5, ♠4, ♠5 | two pairs
♦8, ♣4, ♣5, ♠4, ♣4 | three of a kind
♦8, ♣4, ♣5, ♠4, ♣10 | pair
♦8, ♣4, ♣5, ♠4, ♠3 | pair
♦8, ♣4, ♣5, ♠4, ♣2 | pair
♦8, ♣4, ♣5, ♦Q, ♠5 | pair
♦8, ♣4, ♣5, ♦Q, ♣4 | pair
♦8, ♣4, ♣5, ♣10, ♠5 | pair
♦8, ♣4, ♣5, ♣10, ♣4 | pair
♦8, ♣4, ♣5, ♣10, ♣10 | pair
♦8, ♣4, ♣5, ♠5, ♣4 | two pairs
♦8, ♣4, ♣5, ♠5, ♣10 | pair
♦8, ♣4, ♣5, ♠5, ♠3 | pair
♦8, ♣4, ♣5, ♠5, ♣2 | pair
♦8, ♣4, ♣5, ♣4, ♣10 | pair
♦8, ♣4, ♣5, ♣4, ♠3 | pair
♦8, ♣4, ♣5, ♣4, ♣2 | pair
♦8, ♣4, ♠4, ♦Q, ♣10 | pair
♦8, ♣4, ♠4, ♦Q, ♠5 | pair
♦8, ♣4, ♠4, ♦Q, ♣4 | three of a kind
♦8, ♣4, ♠4, ♦Q, ♣10 | pair
♦8, ♣4, ♠4, ♦Q, ♠3 | pair
♦8, ♣4, ♠4, ♦Q, ♣2 | pair
♦8, ♣4, ♠4, ♣10, ♠5 | pair
♦8, ♣4, ♠4, ♣10, ♣4 | three of a kind
♦8, ♣4, ♠4, ♣10, ♣10 | two pairs
♦8, ♣4, ♠4, ♣10, ♠3 | pair
♦8, ♣4, ♠4, ♣10, ♣2 | pair
♦8, ♣4, ♠4, ♠5, ♣4 | three of a kind
♦8, ♣4, ♠4, ♠5, ♣10 | pair
♦8, ♣4, ♠4, ♠5, ♠3 | pair
♦8, ♣4, ♠4, ♠5, ♣2 | pair
♦8, ♣4, ♠4, ♣4, ♣10 | three of a kind
♦8, ♣4, ♠4, ♣4, ♠3 | three of a kind
♦8, ♣4, ♠4, ♣4, ♣2 | three of a kind
♦8, ♣4, ♠4, ♣10, ♠3 | pair
♦8, ♣4, ♠4, ♣10, ♣2 | pair
