♥Q, ♦A, ♥Q, ♠6, ♠5 | pair
♥Q, ♦A, ♥Q, ♠6, ♦7 | pair
♥Q, ♦A, ♥Q, ♠6, ♣4 | pair
♥Q, ♦A, ♥Q, ♠6, ♠8 | pair
♥Q, ♦A, ♥Q, ♠6, ♠7 | pair
♥Q, ♦A, ♥Q, ♠6, ♥3 | pair
♥Q, ♦A, ♥Q, ♠5, ♦7 | pair
♥Q, ♦A, ♥Q, ♠5, ♣4 | pair
♥Q, ♦A, ♥Q, ♠5, ♠8 | pair
♥Q, ♦A, ♥Q, ♠5, ♠7 | pair
♥Q, ♦A, ♥Q, ♠5, ♥3 | pair
♥Q, ♦A, ♥Q, ♦7, ♣4 | pair
♥Q, ♦A, ♥Q, ♦7, ♠8 | pair
♥Q, ♦A, ♥Q, ♦7, ♠7 | two pairs
♥Q, ♦A, ♥Q, ♦7, ♥3 | pair
♥Q, ♦A, ♥Q, ♣4, ♠8 | pair
♥Q, ♦A, ♥Q, ♣4, ♠7 | pair
♥Q, ♦A, ♥Q, ♣4, ♥3 | pair
♥Q, ♦A, ♥Q, ♠8, ♠7 | pair
♥Q, ♦A, ♥Q, ♠8, ♥3 | pair
♥Q, ♦A, ♥Q, ♠7, ♥3 | pair
♥Q, ♦A, ♠6, ♦7, ♠7 | pair
♥Q, ♦A, ♠5, ♦7, ♠7 | pair
♥Q, ♦A, ♦7, ♣4, ♠7 | pair
♥Q, ♦A, ♦7, ♠8, ♠7 | pair
♥Q, ♦A, ♦7, ♠7, ♥3 | pair
♥Q, ♥Q, ♠6, ♠5, ♦7 | pair
♥Q, ♥Q, ♠6, ♠5, ♣4 | pair
♥Q, ♥Q, ♠6, ♠5, ♠8 | pair
♥Q, ♥Q, ♠6, ♠5, ♠7 | pair
♥Q, ♥Q, ♠6, ♠5, ♥3 | pair
♥Q, ♥Q, ♠6, ♦7, ♣4 | pair
♥Q, ♥Q, ♠6, ♦7, ♠8 | pair
♥Q, ♥Q, ♠6, ♦7, ♠7 | two pairs
♥Q, ♥Q, ♠6, ♦7, ♥3 | pair
♥Q, ♥Q, ♠6, ♣4, ♠8 | pair
♥Q, ♥Q, ♠6, ♣4, ♠7 | pair
♥Q, ♥Q, ♠6, ♣4, ♥3 | pair
♥Q, ♥Q, ♠6, ♠8, ♠7 | pair
♥Q, ♥Q, ♠6, ♠8, ♥3 | pair
♥Q, ♥Q, ♠6, ♠7, ♥3 | pair
♥Q, ♥Q, ♠5, ♦7, ♣4 | pair
♥Q, ♥Q, ♠5, ♦7, ♠8 | pair
