♦9, ♦5, ♦J, ♠4, ♣J | pair
♦9, ♦5, ♦J, ♠4, ♦5 | pair
♦9, ♦5, ♦J, ♠4, ♦9 | pair
♦9, ♦5, ♦J, ♥2, ♣J | pair
♦9, ♦5, ♦J, ♥2, ♦5 | pair
♦9, ♦5, ♦J, ♥2, ♦9 | pair
♦9, ♦5, ♦J, ♣Q, ♣J | pair
♦9, ♦5, ♦J, ♣Q, ♦5 | pair
♦9, ♦5, ♦J, ♣Q, ♦9 | pair
♦9, ♦5, ♦J, ♦8, ♦8 | flush
♦9, ♦5, ♦J, ♦8, ♣J | pair
♦9, ♦5, ♦J, ♦8, ♦8 | flush
♦9, ♦5, ♦J, ♦8, ♦5 | flush
♦9, ♦5, ♦J, ♦8, ♦9 | flush
♦9, ♦5, ♦J, ♦8, ♣J | pair
♦9, ♦5, ♦J, ♦8, ♦8 | flush
♦9, ♦5, ♦J, ♦8, ♦5 | flush
♦9, ♦5, ♦J, ♦8, ♦9 | flush
♦9, ♦5, ♦J, ♣A, ♠A | pair
♦9, ♦5, ♦J, ♣A, ♣J | pair
♦9, ♦5, ♦J, ♣A, ♦5 | pair
♦9, ♦5, ♦J, ♣A, ♦9 | pair
♦9, ♦5, ♦J, ♠A, ♣J | pair
♦9, ♦5, ♦J, ♠A, ♦5 | pair
♦9, ♦5, ♦J, ♠A, ♦9 | pair
♦9, ♦5, ♦J, ♣J, ♠6 | pair
♦9, ♦5, ♦J, ♣J, ♦8 | pair
♦9, ♦5, ♦J, ♣J, ♦5 | two pairs
♦9, ♦5, ♦J, ♣J, ♦9 | two pairs
♦9, ♦5, ♦J, ♠6, ♦5 | pair
♦9, ♦5, ♦J, ♠6, ♦9 | pair
♦9, ♦5, ♦J, ♦8, ♦5 | flush
♦9, ♦5, ♦J, ♦8, ♦9 | flush
♦9, ♦5, ♦J, ♦5, ♦9 | flush
♦9, ♦5, ♠4, ♥2, ♦5 | pair
♦9, ♦5, ♠4, ♥2, ♦9 | pair
♦9, ♦5, ♠4, ♣Q, ♦5 | pair
♦9, ♦5, ♠4, ♣Q, ♦9 | pair
♦9, ♦5, ♠4, ♦8, ♦8 | pair
♦9, ♦5, ♠4, ♦8, ♦8 | pair
♦9, ♦5, ♠4, ♦8, ♦5 | pair
♦9, ♦5, ♠4, ♦8, ♦9 | pair
♦9, ♦5, ♠4, ♦8, ♦8 | pair
♦9, ♦5, ♠4, ♦8, ♦5 | pair
♦9, ♦5, ♠4, ♦8, ♦9 | pair
♦9, ♦5, ♠4, ♣A, ♠A | pair
♦9, ♦5, ♠4, ♣A, ♦5 | pair
♦9, ♦5, ♠4, ♣A, ♦9 | pair
♦9, ♦5, ♠4, ♠A, ♦5 | pair
♦9, ♦5, ♠4, ♠A, ♦9 | pair
♦9, ♦5, ♠4, ♣J, ♦5 | pair
♦9, ♦5, ♠4, ♣J, ♦9 | pair
♦9, ♦5, ♠4, ♠6, ♦5 | pair
♦9, ♦5, ♠4, ♠6, ♦9 | pair
♦9, ♦5, ♠4, ♦8, ♦5 | pair
♦9, ♦5, ♠4, ♦8, ♦9 | pair
♦9, ♦5, ♠4, ♦5, ♦9 | two pairs
♦9, ♦5, ♥2, ♣Q, ♦5 | pair
♦9, ♦5, ♥2, ♣Q, ♦9 | pair
♦9, ♦5, ♥2, ♦8, ♦8 | pair
♦9, ♦5, ♥2, ♦8, ♦8 | pair
♦9, ♦5, ♥2, ♦8, ♦5 | pair
♦9, ♦5, ♥2, ♦8, ♦9 | pair
♦9, ♦5, ♥2, ♦8, ♦8 | pair
♦9, ♦5, ♥2, ♦8, ♦5 | pair
♦9, ♦5, ♥2, ♦8, ♦9 | pair
♦9, ♦5, ♥2, ♣A, ♠A | pair
♦9, ♦5, ♥2, ♣A, ♦5 | pair
♦9, ♦5, ♥2, ♣A, ♦9 | pair
♦9, ♦5, ♥2, ♠A, ♦5 | pair
♦9, ♦5, ♥2, ♠A, ♦9 | pair
♦9, ♦5, ♥2, ♣J, ♦5 | pair
♦9, ♦5, ♥2, ♣J, ♦9 | pair
♦9, ♦5, ♥2, ♠6, ♦5 | pair
♦9, ♦5, ♥2, ♠6, ♦9 | pair
♦9, ♦5, ♥2, ♦8, ♦5 | pair
♦9, ♦5, ♥2, ♦8, ♦9 | pair
♦9, ♦5, ♥2, ♦5, ♦9 | two pairs
♦9, ♦5, ♣Q, ♦8, ♦8 | pair
♦9, ♦5, ♣Q, ♦8, ♦8 | pair
♦9, ♦5, ♣Q, ♦8, ♦5 | pair
♦9, ♦5, ♣Q, ♦8, ♦9 | pair
♦9, ♦5, ♣Q, ♦8, ♦8 | pair
♦9, ♦5, ♣Q, ♦8, ♦5 | pair
♦9, ♦5, ♣Q, ♦8, ♦9 | pair
♦9, ♦5, ♣Q, ♣A, ♠A | pair
♦9, ♦5, ♣Q, ♣A, ♦5 | pair
♦9, ♦5, ♣Q, ♣A, ♦9 | pair
♦9, ♦5, ♣Q, ♠A, ♦5 | pair
♦9, ♦5, ♣Q, ♠A, ♦9 | pair
♦9, ♦5, ♣Q, ♣J, ♦5 | pair
♦9, ♦5, ♣Q, ♣J, ♦9 | pair
♦9, ♦5, ♣Q, ♠6, ♦5 | pair
♦9, ♦5, ♣Q, ♠6, ♦9 | pair
♦9, ♦5, ♣Q, ♦8, ♦5 | pair
♦9, ♦5, ♣Q, ♦8, ♦9 | pair
♦9, ♦5, ♣Q, ♦5, ♦9 | two pairs
♦9, ♦5, ♦8, ♦8, ♣A | pair
♦9, ♦5, ♦8, ♦8, ♠A | pair
♦9, ♦5, ♦8, ♦8, ♣J | pair
♦9, ♦5, ♦8, ♦8, ♠6 | pair
♦9, ♦5, ♦8, ♦8, ♦8 | flush
♦9, ♦5, ♦8, ♦8, ♦5 | flush
♦9, ♦5, ♦8, ♦8, ♦9 | flush
♦9, ♦5, ♦8, ♣A, ♠A | pair
♦9, ♦5, ♦8, ♣A, ♦8 | pair
♦9, ♦5, ♦8, ♣A, ♦5 | pair
♦9, ♦5, ♦8, ♣A, ♦9 | pair
♦9, ♦5, ♦8, ♠A, ♦8 | pair
♦9, ♦5, ♦8, ♠A, ♦5 | pair
♦9, ♦5, ♦8, ♠A, ♦9 | pair
♦9, ♦5, ♦8, ♣J, ♦8 | pair
♦9, ♦5, ♦8, ♣J, ♦5 | pair
♦9, ♦5, ♦8, ♣J, ♦9 | pair
♦9, ♦5, ♦8, ♠6, ♦8 | pair
♦9, ♦5, ♦8, ♠6, ♦5 | pair
♦9, ♦5, ♦8, ♠6, ♦9 | pair
♦9, ♦5, ♦8, ♦8, ♦5 | flush
♦9, ♦5, ♦8, ♦8, ♦9 | flush
♦9, ♦5, ♦8, ♦5, ♦9 | flush
♦9, ♦5, ♦8, ♣A, ♠A | pair
♦9, ♦5, ♦8, ♣A, ♦8 | pair
♦9, ♦5, ♦8, ♣A, ♦5 | pair
♦9, ♦5, ♦8, ♣A, ♦9 | pair
♦9, ♦5, ♦8, ♠A, ♦8 | pair
♦9, ♦5, ♦8, ♠A, ♦5 | pair
♦9, ♦5, ♦8, ♠A, ♦9 | pair
♦9, ♦5, ♦8, ♣J, ♦8 | pair
♦9, ♦5, ♦8, ♣J, ♦5 | pair
♦9, ♦5, ♦8, ♣J, ♦9 | pair
♦9, ♦5, ♦8, ♠6, ♦8 | pair
♦9, ♦5, ♦8, ♠6, ♦5 | pair
♦9, ♦5, ♦8, ♠6, ♦9 | pair
♦9, ♦5, ♦8, ♦8, ♦5 | flush
♦9, ♦5, ♦8, ♦8, ♦9 | flush
♦9, ♦5, ♦8, ♦5, ♦9 | flush
