♣9, ♥6, ♥3, ♠J, ♦3 | pair
♣9, ♥6, ♥3, ♠J, ♠3 | pair
♣9, ♥6, ♥3, ♦5, ♦5 | pair
♣9, ♥6, ♥3, ♦5, ♦3 | pair
♣9, ♥6, ♥3, ♦5, ♠3 | pair
♣9, ♥6, ♥3, ♦5, ♦3 | pair
♣9, ♥6, ♥3, ♦5, ♠3 | pair
♣9, ♥6, ♥3, ♦7, ♦3 | pair
♣9, ♥6, ♥3, ♦7, ♠3 | pair
♣9, ♥6, ♥3, ♣10, ♦3 | pair
♣9, ♥6, ♥3, ♣10, ♠3 | pair
♣9, ♥6, ♥3, ♦3, ♠3 | three of a kind
♣9, ♥6, ♥3, ♦3, ♥A | pair
♣9, ♥6, ♥3, ♠3, ♥A | pair
♣9, ♥6, ♠J, ♦5, ♦5 | pair
♣9, ♥6, ♠J, ♦3, ♠3 | pair
♣9, ♥6, ♦5, ♦5, ♦7 | pair
♣9, ♥6, ♦5, ♦5, ♣10 | pair
♣9, ♥6, ♦5, ♦5, ♦3 | pair
♣9, ♥6, ♦5, ♦5, ♠3 | pair
♣9, ♥6, ♦5, ♦5, ♥A | pair
♣9, ♥6, ♦5, ♦3, ♠3 | pair
♣9, ♥6, ♦5, ♦3, ♠3 | pair
♣9, ♥6, ♦7, ♦3, ♠3 | pair
♣9, ♥6, ♣10, ♦3, ♠3 | pair
♣9, ♥6, ♦3, ♠3, ♥A | pair
♣9, ♥3, ♠J, ♦5, ♦5 | pair
♣9, ♥3, ♠J, ♦5, ♦3 | pair
♣9, ♥3, ♠J, ♦5, ♠3 | pair
♣9, ♥3, ♠J, ♦5, ♦3 | pair
♣9, ♥3, ♠J, ♦5, ♠3 | pair
♣9, ♥3, ♠J, ♦7, ♦3 | pair
♣9, ♥3, ♠J, ♦7, ♠3 | pair
♣9, ♥3, ♠J, ♣10, ♦3 | pair
♣9, ♥3, ♠J, ♣10, ♠3 | pair
♣9, ♥3, ♠J, ♦3, ♠3 | three of a kind
♣9, ♥3, ♠J, ♦3, ♥A | pair
♣9, ♥3, ♠J, ♠3, ♥A | pair
♣9, ♥3, ♦5, ♦5, ♦7 | pair
♣9, ♥3, ♦5, ♦5, ♣10 | pair
♣9, ♥3, ♦5, ♦5, ♦3 | two pairs
♣9, ♥3, ♦5, ♦5, ♠3 | two pairs
♣9, ♥3, ♦5, ♦5, ♥A | pair
♣9, ♥3, ♦5, ♦7, ♦3 | pair
♣9, ♥3, ♦5, ♦7, ♠3 | pair
♣9, ♥3, ♦5, ♣10, ♦3 | pair
♣9, ♥3, ♦5, ♣10, ♠3 | pair
♣9, ♥3, ♦5, ♦3, ♠3 | three of a kind
♣9, ♥3, ♦5, ♦3, ♥A | pair
♣9, ♥3, ♦5, ♠3, ♥A | pair
♣9, ♥3, ♦5, ♦7, ♦3 | pair
♣9, ♥3, ♦5, ♦7, ♠3 | pair
♣9, ♥3, ♦5, ♣10, ♦3 | pair
♣9, ♥3, ♦5, ♣10, ♠3 | pair
♣9, ♥3, ♦5, ♦3, ♠3 | three of a kind
♣9, ♥3, ♦5, ♦3, ♥A | pair
♣9, ♥3, ♦5, ♠3, ♥A | pair
♣9, ♥3, ♦7, ♣10, ♦3 | pair
♣9, ♥3, ♦7, ♣10, ♠3 | pair
♣9, ♥3, ♦7, ♦3, ♠3 | three of a kind
♣9, ♥3, ♦7, ♦3, ♥A | pair
♣9, ♥3, ♦7, ♠3, ♥A | pair
♣9, ♥3, ♣10, ♦3, ♠3 | three of a kind
♣9, ♥3, ♣10, ♦3, ♥A | pair
♣9, ♥3, ♣10, ♠3, ♥A | pair
♣9, ♥3, ♦3, ♠3, ♥A | three of a kind
♣9, ♠J, ♦5, ♦5, ♦7 | pair
♣9, ♠J, ♦5, ♦5, ♣10 | pair
♣9, ♠J, ♦5, ♦5, ♦3 | pair
♣9, ♠J, ♦5, ♦5, ♠3 | pair
♣9, ♠J, ♦5, ♦5, ♥A | pair
♣9, ♠J, ♦5, ♦3, ♠3 | pair
♣9, ♠J, ♦5, ♦3, ♠3 | pair
♣9, ♠J, ♦7, ♦3, ♠3 | pair
♣9, ♠J, ♣10, ♦3, ♠3 | pair
♣9, ♠J, ♦3, ♠3, ♥A | pair
♣9, ♦5, ♦5, ♦7, ♣10 | pair
♣9, ♦5, ♦5, ♦7, ♦3 | pair
♣9, ♦5, ♦5, ♦7, ♠3 | pair
♣9, ♦5, ♦5, ♦7, ♥A | pair
♣9, ♦5, ♦5, ♣10, ♦3 | pair
♣9, ♦5, ♦5, ♣10, ♠3 | pair
♣9, ♦5, ♦5, ♣10, ♥A | pair
