♠4, ♦J, ♣7, ♥10, ♥7 | pair
♠4, ♦J, ♣7, ♥10, ♣7 | pair
♠4, ♦J, ♣7, ♥10, ♣10 | pair
♠4, ♦J, ♣7, ♥10, ♠10 | pair
♠4, ♦J, ♣7, ♥10, ♥10 | pair
♠4, ♦J, ♣7, ♥10, ♥7 | pair
♠4, ♦J, ♣7, ♦5, ♦5 | pair
♠4, ♦J, ♣7, ♦5, ♥7 | pair
♠4, ♦J, ♣7, ♦5, ♣7 | pair
♠4, ♦J, ♣7, ♦5, ♥7 | pair
♠4, ♦J, ♣7, ♦6, ♥7 | pair
♠4, ♦J, ♣7, ♦6, ♣7 | pair
♠4, ♦J, ♣7, ♦6, ♥7 | pair
♠4, ♦J, ♣7, ♦5, ♥7 | pair
♠4, ♦J, ♣7, ♦5, ♣7 | pair
♠4, ♦J, ♣7, ♦5, ♥7 | pair
♠4, ♦J, ♣7, ♥8, ♥7 | pair
♠4, ♦J, ♣7, ♥8, ♣7 | pair
♠4, ♦J, ♣7, ♥8, ♥7 | pair
♠4, ♦J, ♣7, ♦2, ♥7 | pair
♠4, ♦J, ♣7, ♦2, ♣7 | pair
♠4, ♦J, ♣7, ♦2, ♥7 | pair
♠4, ♦J, ♣7, ♥7, ♣7 | three of a kind
♠4, ♦J, ♣7, ♥7, ♣10 | pair
♠4, ♦J, ♣7, ♥7, ♠10 | pair
♠4, ♦J, ♣7, ♥7, ♣K | pair
♠4, ♦J, ♣7, ♥7, ♥10 | pair
♠4, ♦J, ♣7, ♥7, ♥7 | three of a kind
♠4, ♦J, ♣7, ♣7, ♣10 | pair
♠4, ♦J, ♣7, ♣7, ♠10 | pair
♠4, ♦J, ♣7, ♣7, ♣K | pair
♠4, ♦J, ♣7, ♣7, ♥10 | pair
♠4, ♦J, ♣7, ♣7, ♥7 | three of a kind
♠4, ♦J, ♣7, ♣10, ♠10 | pair
♠4, ♦J, ♣7, ♣10, ♥10 | pair
♠4, ♦J, ♣7, ♣10, ♥7 | pair
♠4, ♦J, ♣7, ♠10, ♥10 | pair
♠4, ♦J, ♣7, ♠10, ♥7 | pair
♠4, ♦J, ♣7, ♣K, ♥7 | pair
♠4, ♦J, ♣7, ♥10, ♥7 | pair
♠4, ♦J, ♥10, ♦5, ♦5 | pair
♠4, ♦J, ♥10, ♦5, ♣10 | pair
♠4, ♦J, ♥10, ♦5, ♠10 | pair
♠4, ♦J, ♥10, ♦5, ♥10 | pair
♠4, ♦J, ♥10, ♦6, ♣10 | pair
♠4, ♦J, ♥10, ♦6, ♠10 | pair
♠4, ♦J, ♥10, ♦6, ♥10 | pair
♠4, ♦J, ♥10, ♦5, ♣10 | pair
♠4, ♦J, ♥10, ♦5, ♠10 | pair
♠4, ♦J, ♥10, ♦5, ♥10 | pair
♠4, ♦J, ♥10, ♥8, ♣10 | pair
♠4, ♦J, ♥10, ♥8, ♠10 | pair
♠4, ♦J, ♥10, ♥8, ♥10 | pair
♠4, ♦J, ♥10, ♦2, ♣10 | pair
♠4, ♦J, ♥10, ♦2, ♠10 | pair
♠4, ♦J, ♥10, ♦2, ♥10 | pair
♠4, ♦J, ♥10, ♥7, ♣7 | pair
♠4, ♦J, ♥10, ♥7, ♣10 | pair
♠4, ♦J, ♥10, ♥7, ♠10 | pair
♠4, ♦J, ♥10, ♥7, ♥10 | pair
♠4, ♦J, ♥10, ♥7, ♥7 | pair
♠4, ♦J, ♥10, ♣7, ♣10 | pair
♠4, ♦J, ♥10, ♣7, ♠10 | pair
♠4, ♦J, ♥10, ♣7, ♥10 | pair
♠4, ♦J, ♥10, ♣7, ♥7 | pair
♠4, ♦J, ♥10, ♣10, ♠10 | three of a kind
♠4, ♦J, ♥10, ♣10, ♣K | pair
♠4, ♦J, ♥10, ♣10, ♥10 | three of a kind
♠4, ♦J, ♥10, ♣10, ♥7 | pair
♠4, ♦J, ♥10, ♠10, ♣K | pair
♠4, ♦J, ♥10, ♠10, ♥10 | three of a kind
♠4, ♦J, ♥10, ♠10, ♥7 | pair
♠4, ♦J, ♥10, ♣K, ♥10 | pair
♠4, ♦J, ♥10, ♥10, ♥7 | pair
♠4, ♦J, ♦5, ♦6, ♦5 | pair
♠4, ♦J, ♦5, ♦5, ♥8 | pair
♠4, ♦J, ♦5, ♦5, ♦2 | pair
♠4, ♦J, ♦5, ♦5, ♥7 | pair
♠4, ♦J, ♦5, ♦5, ♣7 | pair
♠4, ♦J, ♦5, ♦5, ♣10 | pair
♠4, ♦J, ♦5, ♦5, ♠10 | pair
♠4, ♦J, ♦5, ♦5, ♣K | pair
♠4, ♦J, ♦5, ♦5, ♥10 | pair
♠4, ♦J, ♦5, ♦5, ♥7 | pair
♠4, ♦J, ♦5, ♥7, ♣7 | pair
♠4, ♦J, ♦5, ♥7, ♥7 | pair
♠4, ♦J, ♦5, ♣7, ♥7 | pair
♠4, ♦J, ♦5, ♣10, ♠10 | pair
♠4, ♦J, ♦5, ♣10, ♥10 | pair
♠4, ♦J, ♦5, ♠10, ♥10 | pair
♠4, ♦J, ♦6, ♥7, ♣7 | pair
♠4, ♦J, ♦6, ♥7, ♥7 | pair
♠4, ♦J, ♦6, ♣7, ♥7 | pair
♠4, ♦J, ♦6, ♣10, ♠10 | pair
♠4, ♦J, ♦6, ♣10, ♥10 | pair
♠4, ♦J, ♦6, ♠10, ♥10 | pair
♠4, ♦J, ♦5, ♥7, ♣7 | pair
♠4, ♦J, ♦5, ♥7, ♥7 | pair
♠4, ♦J, ♦5, ♣7, ♥7 | pair
♠4, ♦J, ♦5, ♣10, ♠10 | pair
♠4, ♦J, ♦5, ♣10, ♥10 | pair
♠4, ♦J, ♦5, ♠10, ♥10 | pair
♠4, ♦J, ♥8, ♥7, ♣7 | pair
♠4, ♦J, ♥8, ♥7, ♥7 | pair
♠4, ♦J, ♥8, ♣7, ♥7 | pair
♠4, ♦J, ♥8, ♣10, ♠10 | pair
♠4, ♦J, ♥8, ♣10, ♥10 | pair
♠4, ♦J, ♥8, ♠10, ♥10 | pair
♠4, ♦J, ♦2, ♥7, ♣7 | pair
♠4, ♦J, ♦2, ♥7, ♥7 | pair
♠4, ♦J, ♦2, ♣7, ♥7 | pair
♠4, ♦J, ♦2, ♣10, ♠10 | pair
♠4, ♦J, ♦2, ♣10, ♥10 | pair
♠4, ♦J, ♦2, ♠10, ♥10 | pair
♠4, ♦J, ♥7, ♣7, ♣10 | pair
♠4, ♦J, ♥7, ♣7, ♠10 | pair
♠4, ♦J, ♥7, ♣7, ♣K | pair
♠4, ♦J, ♥7, ♣7, ♥10 | pair
♠4, ♦J, ♥7, ♣7, ♥7 | three of a kind
♠4, ♦J, ♥7, ♣10, ♠10 | pair
♠4, ♦J, ♥7, ♣10, ♥10 | pair
♠4, ♦J, ♥7, ♣10, ♥7 | pair
♠4, ♦J, ♥7, ♠10, ♥10 | pair
♠4, ♦J, ♥7, ♠10, ♥7 | pair
♠4, ♦J, ♥7, ♣K, ♥7 | pair
♠4, ♦J, ♥7, ♥10, ♥7 | pair
♠4, ♦J, ♣7, ♣10, ♠10 | pair
♠4, ♦J, ♣7, ♣10, ♥10 | pair
♠4, ♦J, ♣7, ♣10, ♥7 | pair
♠4, ♦J, ♣7, ♠10, ♥10 | pair
♠4, ♦J, ♣7, ♠10, ♥7 | pair
♠4, ♦J, ♣7, ♣K, ♥7 | pair
♠4, ♦J, ♣7, ♥10, ♥7 | pair
♠4, ♦J, ♣10, ♠10, ♣K | pair
♠4, ♦J, ♣10, ♠10, ♥10 | three of a kind
♠4, ♦J, ♣10, ♠10, ♥7 | pair
♠4, ♦J, ♣10, ♣K, ♥10 | pair
♠4, ♦J, ♣10, ♥10, ♥7 | pair
♠4, ♦J, ♠10, ♣K, ♥10 | pair
♠4, ♦J, ♠10, ♥10, ♥7 | pair
♠4, ♣7, ♥10, ♦5, ♦5 | pair
♠4, ♣7, ♥10, ♦5, ♥7 | pair
♠4, ♣7, ♥10, ♦5, ♣7 | pair
♠4, ♣7, ♥10, ♦5, ♣10 | pair
♠4, ♣7, ♥10, ♦5, ♠10 | pair
♠4, ♣7, ♥10, ♦5, ♥10 | pair
♠4, ♣7, ♥10, ♦5, ♥7 | pair
♠4, ♣7, ♥10, ♦6, ♥7 | pair
♠4, ♣7, ♥10, ♦6, ♣7 | pair
♠4, ♣7, ♥10, ♦6, ♣10 | pair
♠4, ♣7, ♥10, ♦6, ♠10 | pair
♠4, ♣7, ♥10, ♦6, ♥10 | pair
♠4, ♣7, ♥10, ♦6, ♥7 | pair
♠4, ♣7, ♥10, ♦5, ♥7 | pair
♠4, ♣7, ♥10, ♦5, ♣7 | pair
♠4, ♣7, ♥10, ♦5, ♣10 | pair
♠4, ♣7, ♥10, ♦5, ♠10 | pair
♠4, ♣7, ♥10, ♦5, ♥10 | pair
♠4, ♣7, ♥10, ♦5, ♥7 | pair
♠4, ♣7, ♥10, ♥8, ♥7 | pair
♠4, ♣7, ♥10, ♥8, ♣7 | pair
♠4, ♣7, ♥10, ♥8, ♣10 | pair
♠4, ♣7, ♥10, ♥8, ♠10 | pair
♠4, ♣7, ♥10, ♥8, ♥10 | pair
♠4, ♣7, ♥10, ♥8, ♥7 | pair
♠4, ♣7, ♥10, ♦2, ♥7 | pair
♠4, ♣7, ♥10, ♦2, ♣7 | pair
♠4, ♣7, ♥10, ♦2, ♣10 | pair
♠4, ♣7, ♥10, ♦2, ♠10 | pair
♠4, ♣7, ♥10, ♦2, ♥10 | pair
♠4, ♣7, ♥10, ♦2, ♥7 | pair
♠4, ♣7, ♥10, ♥7, ♣7 | three of a kind
♠4, ♣7, ♥10, ♥7, ♣10 | two pairs
♠4, ♣7, ♥10, ♥7, ♠10 | two pairs
♠4, ♣7, ♥10, ♥7, ♣K | pair
♠4, ♣7, ♥10, ♥7, ♥10 | two pairs
♠4, ♣7, ♥10, ♥7, ♥7 | three of a kind
♠4, ♣7, ♥10, ♣7, ♣10 | two pairs
♠4, ♣7, ♥10, ♣7, ♠10 | two pairs
♠4, ♣7, ♥10, ♣7, ♣K | pair
♠4, ♣7, ♥10, ♣7, ♥10 | two pairs
♠4, ♣7, ♥10, ♣7, ♥7 | three of a kind
♠4, ♣7, ♥10, ♣10, ♠10 | three of a kind
♠4, ♣7, ♥10, ♣10, ♣K | pair
♠4, ♣7, ♥10, ♣10, ♥10 | three of a kind
♠4, ♣7, ♥10, ♣10, ♥7 | two pairs
♠4, ♣7, ♥10, ♠10, ♣K | pair
