♥3, ♠8, ♦J, ♥6, ♥3 | pair
♥3, ♠8, ♦J, ♥7, ♥3 | pair
♥3, ♠8, ♦J, ♥7, ♦7 | pair
♥3, ♠8, ♦J, ♥4, ♥3 | pair
♥3, ♠8, ♦J, ♥Q, ♥3 | pair
♥3, ♠8, ♦J, ♥Q, ♥Q | pair
♥3, ♠8, ♦J, ♥Q, ♥Q | pair
♥3, ♠8, ♦J, ♥3, ♠K | pair
♥3, ♠8, ♦J, ♥3, ♦7 | pair
♥3, ♠8, ♦J, ♥3, ♥Q | pair
♥3, ♠8, ♦J, ♥3, ♦K | pair
♥3, ♠8, ♦J, ♥3, ♥Q | pair
♥3, ♠8, ♦J, ♠K, ♦K | pair
♥3, ♠8, ♦J, ♥Q, ♥Q | pair
♥3, ♠8, ♥6, ♥7, ♥3 | pair
♥3, ♠8, ♥6, ♥7, ♦7 | pair
♥3, ♠8, ♥6, ♥4, ♥3 | pair
♥3, ♠8, ♥6, ♥Q, ♥3 | pair
♥3, ♠8, ♥6, ♥Q, ♥Q | pair
♥3, ♠8, ♥6, ♥Q, ♥Q | pair
♥3, ♠8, ♥6, ♥3, ♠K | pair
♥3, ♠8, ♥6, ♥3, ♦7 | pair
♥3, ♠8, ♥6, ♥3, ♥Q | pair
♥3, ♠8, ♥6, ♥3, ♦K | pair
♥3, ♠8, ♥6, ♥3, ♥Q | pair
♥3, ♠8, ♥6, ♠K, ♦K | pair
♥3, ♠8, ♥6, ♥Q, ♥Q | pair
♥3, ♠8, ♥7, ♥4, ♥3 | pair
♥3, ♠8, ♥7, ♥4, ♦7 | pair
♥3, ♠8, ♥7, ♥Q, ♥3 | pair
♥3, ♠8, ♥7, ♥Q, ♦7 | pair
♥3, ♠8, ♥7, ♥Q, ♥Q | pair
♥3, ♠8, ♥7, ♥Q, ♥Q | pair
♥3, ♠8, ♥7, ♥3, ♠K | pair
♥3, ♠8, ♥7, ♥3, ♦7 | two pairs
♥3, ♠8, ♥7, ♥3, ♥Q | pair
♥3, ♠8, ♥7, ♥3, ♦K | pair
♥3, ♠8, ♥7, ♥3, ♥Q | pair
♥3, ♠8, ♥7, ♠K, ♦7 | pair
♥3, ♠8, ♥7, ♠K, ♦K | pair
♥3, ♠8, ♥7, ♦7, ♥Q | pair
♥3, ♠8, ♥7, ♦7, ♦K | pair
♥3, ♠8, ♥7, ♦7, ♥Q | pair
♥3, ♠8, ♥7, ♥Q, ♥Q | pair
♥3, ♠8, ♥4, ♥Q, ♥3 | pair
♥3, ♠8, ♥4, ♥Q, ♥Q | pair
♥3, ♠8, ♥4, ♥Q, ♥Q | pair
♥3, ♠8, ♥4, ♥3, ♠K | pair
♥3, ♠8, ♥4, ♥3, ♦7 | pair
♥3, ♠8, ♥4, ♥3, ♥Q | pair
♥3, ♠8, ♥4, ♥3, ♦K | pair
♥3, ♠8, ♥4, ♥3, ♥Q | pair
♥3, ♠8, ♥4, ♠K, ♦K | pair
♥3, ♠8, ♥4, ♥Q, ♥Q | pair
♥3, ♠8, ♥Q, ♥3, ♠K | pair
♥3, ♠8, ♥Q, ♥3, ♦7 | pair
♥3, ♠8, ♥Q, ♥3, ♥Q | two pairs
♥3, ♠8, ♥Q, ♥3, ♦K | pair
♥3, ♠8, ♥Q, ♥3, ♥Q | two pairs
♥3, ♠8, ♥Q, ♠K, ♥Q | pair
♥3, ♠8, ♥Q, ♠K, ♦K | pair
♥3, ♠8, ♥Q, ♠K, ♥Q | pair
♥3, ♠8, ♥Q, ♦7, ♥Q | pair
♥3, ♠8, ♥Q, ♦7, ♥Q | pair
♥3, ♠8, ♥Q, ♥Q, ♦K | pair
♥3, ♠8, ♥Q, ♥Q, ♥Q | three of a kind
♥3, ♠8, ♥Q, ♦K, ♥Q | pair
♥3, ♠8, ♥3, ♠K, ♦7 | pair
♥3, ♠8, ♥3, ♠K, ♥Q | pair
♥3, ♠8, ♥3, ♠K, ♦K | two pairs
♥3, ♠8, ♥3, ♠K, ♥Q | pair
♥3, ♠8, ♥3, ♦7, ♥Q | pair
♥3, ♠8, ♥3, ♦7, ♦K | pair
♥3, ♠8, ♥3, ♦7, ♥Q | pair
♥3, ♠8, ♥3, ♥Q, ♦K | pair
♥3, ♠8, ♥3, ♥Q, ♥Q | two pairs
♥3, ♠8, ♥3, ♦K, ♥Q | pair
♥3, ♠8, ♠K, ♦7, ♦K | pair
♥3, ♠8, ♠K, ♥Q, ♦K | pair
♥3, ♠8, ♠K, ♥Q, ♥Q | pair
♥3, ♠8, ♠K, ♦K, ♥Q | pair
♥3, ♠8, ♦7, ♥Q, ♥Q | pair
♥3, ♠8, ♥Q, ♦K, ♥Q | pair
♥3, ♦J, ♥6, ♥7, ♥3 | pair
♥3, ♦J, ♥6, ♥7, ♦7 | pair
♥3, ♦J, ♥6, ♥4, ♥3 | pair
♥3, ♦J, ♥6, ♥Q, ♥3 | pair
♥3, ♦J, ♥6, ♥Q, ♥Q | pair
♥3, ♦J, ♥6, ♥Q, ♥Q | pair
♥3, ♦J, ♥6, ♥3, ♠K | pair
♥3, ♦J, ♥6, ♥3, ♦7 | pair
♥3, ♦J, ♥6, ♥3, ♥Q | pair
♥3, ♦J, ♥6, ♥3, ♦K | pair
♥3, ♦J, ♥6, ♥3, ♥Q | pair
♥3, ♦J, ♥6, ♠K, ♦K | pair
♥3, ♦J, ♥6, ♥Q, ♥Q | pair
♥3, ♦J, ♥7, ♥4, ♥3 | pair
♥3, ♦J, ♥7, ♥4, ♦7 | pair
♥3, ♦J, ♥7, ♥Q, ♥3 | pair
♥3, ♦J, ♥7, ♥Q, ♦7 | pair
♥3, ♦J, ♥7, ♥Q, ♥Q | pair
♥3, ♦J, ♥7, ♥Q, ♥Q | pair
♥3, ♦J, ♥7, ♥3, ♠K | pair
♥3, ♦J, ♥7, ♥3, ♦7 | two pairs
♥3, ♦J, ♥7, ♥3, ♥Q | pair
♥3, ♦J, ♥7, ♥3, ♦K | pair
♥3, ♦J, ♥7, ♥3, ♥Q | pair
♥3, ♦J, ♥7, ♠K, ♦7 | pair
♥3, ♦J, ♥7, ♠K, ♦K | pair
♥3, ♦J, ♥7, ♦7, ♥Q | pair
♥3, ♦J, ♥7, ♦7, ♦K | pair
♥3, ♦J, ♥7, ♦7, ♥Q | pair
♥3, ♦J, ♥7, ♥Q, ♥Q | pair
♥3, ♦J, ♥4, ♥Q, ♥3 | pair
♥3, ♦J, ♥4, ♥Q, ♥Q | pair
♥3, ♦J, ♥4, ♥Q, ♥Q | pair
♥3, ♦J, ♥4, ♥3, ♠K | pair
♥3, ♦J, ♥4, ♥3, ♦7 | pair
♥3, ♦J, ♥4, ♥3, ♥Q | pair
♥3, ♦J, ♥4, ♥3, ♦K | pair
♥3, ♦J, ♥4, ♥3, ♥Q | pair
♥3, ♦J, ♥4, ♠K, ♦K | pair
♥3, ♦J, ♥4, ♥Q, ♥Q | pair
