♠Q, ♠2, ♥2, ♣K, ♣8 | pair
♠Q, ♠2, ♥2, ♣K, ♥A | pair
♠Q, ♠2, ♥2, ♣K, ♥K | two pairs
♠Q, ♠2, ♥2, ♣K, ♠6 | pair
♠Q, ♠2, ♥2, ♣K, ♦7 | pair
♠Q, ♠2, ♥2, ♣K, ♥5 | pair
♠Q, ♠2, ♥2, ♣K, ♣6 | pair
♠Q, ♠2, ♥2, ♣K, ♦7 | pair
♠Q, ♠2, ♥2, ♣K, ♦7 | pair
♠Q, ♠2, ♥2, ♣K, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♣K, ♥7 | pair
♠Q, ♠2, ♥2, ♣8, ♥A | pair
♠Q, ♠2, ♥2, ♣8, ♥K | pair
♠Q, ♠2, ♥2, ♣8, ♠6 | pair
♠Q, ♠2, ♥2, ♣8, ♦7 | pair
♠Q, ♠2, ♥2, ♣8, ♥5 | pair
♠Q, ♠2, ♥2, ♣8, ♣6 | pair
♠Q, ♠2, ♥2, ♣8, ♦7 | pair
♠Q, ♠2, ♥2, ♣8, ♦7 | pair
♠Q, ♠2, ♥2, ♣8, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♣8, ♥7 | pair
♠Q, ♠2, ♥2, ♥A, ♥K | pair
♠Q, ♠2, ♥2, ♥A, ♠6 | pair
♠Q, ♠2, ♥2, ♥A, ♦7 | pair
♠Q, ♠2, ♥2, ♥A, ♥5 | pair
♠Q, ♠2, ♥2, ♥A, ♣6 | pair
♠Q, ♠2, ♥2, ♥A, ♦7 | pair
♠Q, ♠2, ♥2, ♥A, ♦7 | pair
♠Q, ♠2, ♥2, ♥A, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♥A, ♥7 | pair
♠Q, ♠2, ♥2, ♥K, ♠6 | pair
♠Q, ♠2, ♥2, ♥K, ♦7 | pair
♠Q, ♠2, ♥2, ♥K, ♥5 | pair
♠Q, ♠2, ♥2, ♥K, ♣6 | pair
♠Q, ♠2, ♥2, ♥K, ♦7 | pair
♠Q, ♠2, ♥2, ♥K, ♦7 | pair
♠Q, ♠2, ♥2, ♥K, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♥K, ♥7 | pair
♠Q, ♠2, ♥2, ♠6, ♦7 | pair
♠Q, ♠2, ♥2, ♠6, ♥5 | pair
♠Q, ♠2, ♥2, ♠6, ♣6 | two pairs
♠Q, ♠2, ♥2, ♠6, ♦7 | pair
♠Q, ♠2, ♥2, ♠6, ♦7 | pair
♠Q, ♠2, ♥2, ♠6, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♠6, ♥7 | pair
♠Q, ♠2, ♥2, ♦7, ♥5 | pair
♠Q, ♠2, ♥2, ♦7, ♣6 | pair
♠Q, ♠2, ♥2, ♦7, ♦7 | two pairs
♠Q, ♠2, ♥2, ♦7, ♦7 | two pairs
♠Q, ♠2, ♥2, ♦7, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♦7, ♥7 | two pairs
♠Q, ♠2, ♥2, ♥5, ♣6 | pair
♠Q, ♠2, ♥2, ♥5, ♦7 | pair
♠Q, ♠2, ♥2, ♥5, ♦7 | pair
♠Q, ♠2, ♥2, ♥5, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♥5, ♥7 | pair
♠Q, ♠2, ♥2, ♣6, ♦7 | pair
♠Q, ♠2, ♥2, ♣6, ♦7 | pair
♠Q, ♠2, ♥2, ♣6, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♣6, ♥7 | pair
♠Q, ♠2, ♥2, ♦7, ♦7 | two pairs
♠Q, ♠2, ♥2, ♦7, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♦7, ♥7 | two pairs
♠Q, ♠2, ♥2, ♦7, ♠2 | three of a kind
♠Q, ♠2, ♥2, ♦7, ♥7 | two pairs
♠Q, ♠2, ♥2, ♠2, ♥7 | three of a kind
♠Q, ♠2, ♣K, ♣8, ♥K | pair
♠Q, ♠2, ♣K, ♣8, ♠2 | pair
♠Q, ♠2, ♣K, ♥A, ♥K | pair
♠Q, ♠2, ♣K, ♥A, ♠2 | pair
♠Q, ♠2, ♣K, ♥K, ♠6 | pair
♠Q, ♠2, ♣K, ♥K, ♦7 | pair
♠Q, ♠2, ♣K, ♥K, ♥5 | pair
♠Q, ♠2, ♣K, ♥K, ♣6 | pair
♠Q, ♠2, ♣K, ♥K, ♦7 | pair
♠Q, ♠2, ♣K, ♥K, ♦7 | pair
♠Q, ♠2, ♣K, ♥K, ♠2 | two pairs
♠Q, ♠2, ♣K, ♥K, ♥7 | pair
♠Q, ♠2, ♣K, ♠6, ♣6 | pair
♠Q, ♠2, ♣K, ♠6, ♠2 | pair
♠Q, ♠2, ♣K, ♦7, ♦7 | pair
♠Q, ♠2, ♣K, ♦7, ♦7 | pair
♠Q, ♠2, ♣K, ♦7, ♠2 | pair
♠Q, ♠2, ♣K, ♦7, ♥7 | pair
♠Q, ♠2, ♣K, ♥5, ♠2 | pair
♠Q, ♠2, ♣K, ♣6, ♠2 | pair
♠Q, ♠2, ♣K, ♦7, ♦7 | pair
♠Q, ♠2, ♣K, ♦7, ♠2 | pair
♠Q, ♠2, ♣K, ♦7, ♥7 | pair
♠Q, ♠2, ♣K, ♦7, ♠2 | pair
♠Q, ♠2, ♣K, ♦7, ♥7 | pair
♠Q, ♠2, ♣K, ♠2, ♥7 | pair
♠Q, ♠2, ♣8, ♥A, ♠2 | pair
♠Q, ♠2, ♣8, ♥K, ♠2 | pair
♠Q, ♠2, ♣8, ♠6, ♣6 | pair
♠Q, ♠2, ♣8, ♠6, ♠2 | pair
♠Q, ♠2, ♣8, ♦7, ♦7 | pair
♠Q, ♠2, ♣8, ♦7, ♦7 | pair
♠Q, ♠2, ♣8, ♦7, ♠2 | pair
♠Q, ♠2, ♣8, ♦7, ♥7 | pair
♠Q, ♠2, ♣8, ♥5, ♠2 | pair
♠Q, ♠2, ♣8, ♣6, ♠2 | pair
♠Q, ♠2, ♣8, ♦7, ♦7 | pair
♠Q, ♠2, ♣8, ♦7, ♠2 | pair
♠Q, ♠2, ♣8, ♦7, ♥7 | pair
♠Q, ♠2, ♣8, ♦7, ♠2 | pair
♠Q, ♠2, ♣8, ♦7, ♥7 | pair
♠Q, ♠2, ♣8, ♠2, ♥7 | pair
♠Q, ♠2, ♥A, ♥K, ♠2 | pair
♠Q, ♠2, ♥A, ♠6, ♣6 | pair
♠Q, ♠2, ♥A, ♠6, ♠2 | pair
♠Q, ♠2, ♥A, ♦7, ♦7 | pair
♠Q, ♠2, ♥A, ♦7, ♦7 | pair
♠Q, ♠2, ♥A, ♦7, ♠2 | pair
♠Q, ♠2, ♥A, ♦7, ♥7 | pair
♠Q, ♠2, ♥A, ♥5, ♠2 | pair
♠Q, ♠2, ♥A, ♣6, ♠2 | pair
♠Q, ♠2, ♥A, ♦7, ♦7 | pair
♠Q, ♠2, ♥A, ♦7, ♠2 | pair
♠Q, ♠2, ♥A, ♦7, ♥7 | pair
♠Q, ♠2, ♥A, ♦7, ♠2 | pair
♠Q, ♠2, ♥A, ♦7, ♥7 | pair
