♦8, ♥4, ♠4, ♦9, ♦7 | pair
♦8, ♥4, ♠4, ♦9, ♥7 | pair
♦8, ♥4, ♠4, ♦9, ♥4 | three of a kind
♦8, ♥4, ♠4, ♦9, ♣10 | pair
♦8, ♥4, ♠4, ♦9, ♠K | pair
♦8, ♥4, ♠4, ♦9, ♥2 | pair
♦8, ♥4, ♠4, ♦9, ♥K | pair
♦8, ♥4, ♠4, ♦9, ♥2 | pair
♦8, ♥4, ♠4, ♦9, ♠2 | pair
♦8, ♥4, ♠4, ♦9, ♦K | pair
♦8, ♥4, ♠4, ♦7, ♥7 | two pairs
♦8, ♥4, ♠4, ♦7, ♥4 | three of a kind
♦8, ♥4, ♠4, ♦7, ♣10 | pair
♦8, ♥4, ♠4, ♦7, ♠K | pair
♦8, ♥4, ♠4, ♦7, ♥2 | pair
♦8, ♥4, ♠4, ♦7, ♥K | pair
♦8, ♥4, ♠4, ♦7, ♥2 | pair
♦8, ♥4, ♠4, ♦7, ♠2 | pair
♦8, ♥4, ♠4, ♦7, ♦K | pair
♦8, ♥4, ♠4, ♥7, ♥4 | three of a kind
♦8, ♥4, ♠4, ♥7, ♣10 | pair
♦8, ♥4, ♠4, ♥7, ♠K | pair
♦8, ♥4, ♠4, ♥7, ♥2 | pair
♦8, ♥4, ♠4, ♥7, ♥K | pair
♦8, ♥4, ♠4, ♥7, ♥2 | pair
♦8, ♥4, ♠4, ♥7, ♠2 | pair
♦8, ♥4, ♠4, ♥7, ♦K | pair
♦8, ♥4, ♠4, ♥4, ♣10 | three of a kind
♦8, ♥4, ♠4, ♥4, ♠K | three of a kind
♦8, ♥4, ♠4, ♥4, ♥2 | three of a kind
♦8, ♥4, ♠4, ♥4, ♥K | three of a kind
♦8, ♥4, ♠4, ♥4, ♥2 | three of a kind
♦8, ♥4, ♠4, ♥4, ♠2 | three of a kind
♦8, ♥4, ♠4, ♥4, ♦K | three of a kind
♦8, ♥4, ♠4, ♣10, ♠K | pair
♦8, ♥4, ♠4, ♣10, ♥2 | pair
♦8, ♥4, ♠4, ♣10, ♥K | pair
♦8, ♥4, ♠4, ♣10, ♥2 | pair
♦8, ♥4, ♠4, ♣10, ♠2 | pair
♦8, ♥4, ♠4, ♣10, ♦K | pair
♦8, ♥4, ♠4, ♠K, ♥2 | pair
♦8, ♥4, ♠4, ♠K, ♥K | two pairs
♦8, ♥4, ♠4, ♠K, ♥2 | pair
♦8, ♥4, ♠4, ♠K, ♠2 | pair
♦8, ♥4, ♠4, ♠K, ♦K | two pairs
♦8, ♥4, ♠4, ♥2, ♥K | pair
♦8, ♥4, ♠4, ♥2, ♥2 | two pairs
♦8, ♥4, ♠4, ♥2, ♠2 | two pairs
♦8, ♥4, ♠4, ♥2, ♦K | pair
♦8, ♥4, ♠4, ♥K, ♥2 | pair
♦8, ♥4, ♠4, ♥K, ♠2 | pair
♦8, ♥4, ♠4, ♥K, ♦K | two pairs
♦8, ♥4, ♠4, ♥2, ♠2 | two pairs
♦8, ♥4, ♠4, ♥2, ♦K | pair
♦8, ♥4, ♠4, ♠2, ♦K | pair
♦8, ♥4, ♦9, ♦7, ♥7 | pair
♦8, ♥4, ♦9, ♦7, ♥4 | pair
♦8, ♥4, ♦9, ♥7, ♥4 | pair
♦8, ♥4, ♦9, ♥4, ♣10 | pair
♦8, ♥4, ♦9, ♥4, ♠K | pair
♦8, ♥4, ♦9, ♥4, ♥2 | pair
♦8, ♥4, ♦9, ♥4, ♥K | pair
♦8, ♥4, ♦9, ♥4, ♥2 | pair
♦8, ♥4, ♦9, ♥4, ♠2 | pair
♦8, ♥4, ♦9, ♥4, ♦K | pair
♦8, ♥4, ♦9, ♠K, ♥K | pair
♦8, ♥4, ♦9, ♠K, ♦K | pair
♦8, ♥4, ♦9, ♥2, ♥2 | pair
♦8, ♥4, ♦9, ♥2, ♠2 | pair
♦8, ♥4, ♦9, ♥K, ♦K | pair
♦8, ♥4, ♦9, ♥2, ♠2 | pair
♦8, ♥4, ♦7, ♥7, ♥4 | two pairs
♦8, ♥4, ♦7, ♥7, ♣10 | pair
♦8, ♥4, ♦7, ♥7, ♠K | pair
♦8, ♥4, ♦7, ♥7, ♥2 | pair
♦8, ♥4, ♦7, ♥7, ♥K | pair
♦8, ♥4, ♦7, ♥7, ♥2 | pair
♦8, ♥4, ♦7, ♥7, ♠2 | pair
♦8, ♥4, ♦7, ♥7, ♦K | pair
♦8, ♥4, ♦7, ♥4, ♣10 | pair
♦8, ♥4, ♦7, ♥4, ♠K | pair
♦8, ♥4, ♦7, ♥4, ♥2 | pair
♦8, ♥4, ♦7, ♥4, ♥K | pair
♦8, ♥4, ♦7, ♥4, ♥2 | pair
♦8, ♥4, ♦7, ♥4, ♠2 | pair
♦8, ♥4, ♦7, ♥4, ♦K | pair
♦8, ♥4, ♦7, ♠K, ♥K | pair
♦8, ♥4, ♦7, ♠K, ♦K | pair
♦8, ♥4, ♦7, ♥2, ♥2 | pair
♦8, ♥4, ♦7, ♥2, ♠2 | pair
♦8, ♥4, ♦7, ♥K, ♦K | pair
♦8, ♥4, ♦7, ♥2, ♠2 | pair
♦8, ♥4, ♥7, ♥4, ♣10 | pair
♦8, ♥4, ♥7, ♥4, ♠K | pair
♦8, ♥4, ♥7, ♥4, ♥2 | pair
♦8, ♥4, ♥7, ♥4, ♥K | pair
♦8, ♥4, ♥7, ♥4, ♥2 | pair
♦8, ♥4, ♥7, ♥4, ♠2 | pair
♦8, ♥4, ♥7, ♥4, ♦K | pair
♦8, ♥4, ♥7, ♠K, ♥K | pair
♦8, ♥4, ♥7, ♠K, ♦K | pair
♦8, ♥4, ♥7, ♥2, ♥2 | pair
♦8, ♥4, ♥7, ♥2, ♠2 | pair
♦8, ♥4, ♥7, ♥K, ♦K | pair
♦8, ♥4, ♥7, ♥2, ♠2 | pair
♦8, ♥4, ♥4, ♣10, ♠K | pair
♦8, ♥4, ♥4, ♣10, ♥2 | pair
♦8, ♥4, ♥4, ♣10, ♥K | pair
♦8, ♥4, ♥4, ♣10, ♥2 | pair
♦8, ♥4, ♥4, ♣10, ♠2 | pair
♦8, ♥4, ♥4, ♣10, ♦K | pair
♦8, ♥4, ♥4, ♠K, ♥2 | pair
♦8, ♥4, ♥4, ♠K, ♥K | two pairs
♦8, ♥4, ♥4, ♠K, ♥2 | pair
♦8, ♥4, ♥4, ♠K, ♠2 | pair
