♥7, ♥7, ♦Q, ♥5, ♠A | pair
♥7, ♥7, ♦Q, ♥5, ♣K | pair
♥7, ♥7, ♦Q, ♥5, ♣A | pair
♥7, ♥7, ♦Q, ♥5, ♥5 | two pairs
♥7, ♥7, ♦Q, ♥5, ♠K | pair
♥7, ♥7, ♦Q, ♥5, ♦5 | two pairs
♥7, ♥7, ♦Q, ♥5, ♣10 | pair
♥7, ♥7, ♦Q, ♥5, ♠J | pair
♥7, ♥7, ♦Q, ♥5, ♣3 | pair
♥7, ♥7, ♦Q, ♥5, ♣10 | pair
♥7, ♥7, ♦Q, ♥5, ♣5 | two pairs
♥7, ♥7, ♦Q, ♥5, ♠8 | pair
♥7, ♥7, ♦Q, ♠A, ♣K | pair
♥7, ♥7, ♦Q, ♠A, ♣A | two pairs
♥7, ♥7, ♦Q, ♠A, ♥5 | pair
♥7, ♥7, ♦Q, ♠A, ♠K | pair
♥7, ♥7, ♦Q, ♠A, ♦5 | pair
♥7, ♥7, ♦Q, ♠A, ♣10 | pair
♥7, ♥7, ♦Q, ♠A, ♠J | pair
♥7, ♥7, ♦Q, ♠A, ♣3 | pair
♥7, ♥7, ♦Q, ♠A, ♣10 | pair
♥7, ♥7, ♦Q, ♠A, ♣5 | pair
♥7, ♥7, ♦Q, ♠A, ♠8 | pair
♥7, ♥7, ♦Q, ♣K, ♣A | pair
♥7, ♥7, ♦Q, ♣K, ♥5 | pair
♥7, ♥7, ♦Q, ♣K, ♠K | two pairs
♥7, ♥7, ♦Q, ♣K, ♦5 | pair
♥7, ♥7, ♦Q, ♣K, ♣10 | pair
♥7, ♥7, ♦Q, ♣K, ♠J | pair
♥7, ♥7, ♦Q, ♣K, ♣3 | pair
♥7, ♥7, ♦Q, ♣K, ♣10 | pair
♥7, ♥7, ♦Q, ♣K, ♣5 | pair
♥7, ♥7, ♦Q, ♣K, ♠8 | pair
♥7, ♥7, ♦Q, ♣A, ♥5 | pair
♥7, ♥7, ♦Q, ♣A, ♠K | pair
♥7, ♥7, ♦Q, ♣A, ♦5 | pair
♥7, ♥7, ♦Q, ♣A, ♣10 | pair
♥7, ♥7, ♦Q, ♣A, ♠J | pair
♥7, ♥7, ♦Q, ♣A, ♣3 | pair
♥7, ♥7, ♦Q, ♣A, ♣10 | pair
♥7, ♥7, ♦Q, ♣A, ♣5 | pair
♥7, ♥7, ♦Q, ♣A, ♠8 | pair
♥7, ♥7, ♦Q, ♥5, ♠K | pair
